,Date,Price
0,2020-01-13,64.97
1,2020-01-12,64.85
2,2020-01-10,64.98
3,2020-01-09,65.37
4,2020-01-08,65.44
5,2020-01-07,68.27
6,2020-01-06,68.91
7,2020-01-03,68.6
8,2020-01-02,66.25
9,2019-12-31,66.0
10,2019-12-30,68.44
11,2019-12-27,68.16
12,2019-12-26,67.92
13,2019-12-24,67.2
14,2019-12-23,66.39
15,2019-12-20,66.14
16,2019-12-19,66.54
17,2019-12-18,66.17
18,2019-12-17,66.1
19,2019-12-16,65.34
20,2019-12-13,65.22
21,2019-12-12,64.2
22,2019-12-11,63.72
23,2019-12-10,64.34
24,2019-12-09,64.25
25,2019-12-06,64.39
26,2019-12-05,63.39
27,2019-12-04,63.0
28,2019-12-03,60.82
29,2019-12-02,60.92
30,2019-11-29,62.43
31,2019-11-28,63.87
32,2019-11-27,64.06
33,2019-11-26,64.27
34,2019-11-25,63.65
35,2019-11-22,63.39
36,2019-11-21,63.97
37,2019-11-20,62.4
38,2019-11-19,60.91
39,2019-11-18,62.44
40,2019-11-15,63.3
41,2019-11-14,62.28
42,2019-11-13,62.37
43,2019-11-12,62.06
44,2019-11-11,62.18
45,2019-11-08,62.51
46,2019-11-07,62.29
47,2019-11-06,61.74
48,2019-11-05,62.96
49,2019-11-04,62.13
50,2019-11-01,61.69
51,2019-10-31,60.23
52,2019-10-30,60.61
53,2019-10-29,61.59
54,2019-10-28,61.57
55,2019-10-25,62.02
56,2019-10-24,61.67
57,2019-10-23,61.17
58,2019-10-22,59.7
59,2019-10-21,58.96
60,2019-10-18,59.42
61,2019-10-17,59.91
62,2019-10-16,59.42
63,2019-10-15,58.74
64,2019-10-14,59.35
65,2019-10-11,60.51
66,2019-10-10,59.1
67,2019-10-09,58.32
68,2019-10-08,58.24
69,2019-10-07,58.35
70,2019-10-04,58.37
71,2019-10-03,57.71
72,2019-10-02,57.69
73,2019-10-01,58.89
74,2019-09-30,60.78
75,2019-09-27,61.91
76,2019-09-26,62.74
77,2019-09-25,62.39
78,2019-09-24,63.1
79,2019-09-23,64.77
80,2019-09-20,64.28
81,2019-09-19,64.4
82,2019-09-18,63.6
83,2019-09-17,64.55
84,2019-09-16,69.02
85,2019-09-13,60.22
86,2019-09-12,60.38
87,2019-09-11,60.81
88,2019-09-10,62.38
89,2019-09-09,62.59
90,2019-09-06,61.54
91,2019-09-05,60.95
92,2019-09-04,60.7
93,2019-09-03,58.26
94,2019-09-02,58.66
95,2019-08-30,60.43
96,2019-08-29,61.08
97,2019-08-28,60.49
98,2019-08-27,59.51
99,2019-08-26,58.7
100,2019-08-23,59.34
101,2019-08-22,59.92
102,2019-08-21,60.3
103,2019-08-20,60.03
104,2019-08-19,59.74
105,2019-08-16,58.64
106,2019-08-15,58.23
107,2019-08-14,59.48
108,2019-08-13,61.3
109,2019-08-12,58.57
110,2019-08-09,58.53
111,2019-08-08,57.38
112,2019-08-07,56.23
113,2019-08-06,58.94
114,2019-08-05,59.81
115,2019-08-02,61.89
116,2019-08-01,60.5
117,2019-07-31,65.17
118,2019-07-30,64.72
119,2019-07-29,63.71
120,2019-07-26,63.46
121,2019-07-25,63.39
122,2019-07-24,63.18
123,2019-07-23,63.83
124,2019-07-22,63.26
125,2019-07-19,62.47
126,2019-07-18,61.93
127,2019-07-17,63.66
128,2019-07-16,64.35
129,2019-07-15,66.48
130,2019-07-12,66.72
131,2019-07-11,66.52
132,2019-07-10,67.01
133,2019-07-09,64.16
134,2019-07-08,64.11
135,2019-07-05,64.23
136,2019-07-04,63.3
137,2019-07-03,63.82
138,2019-07-02,62.4
139,2019-07-01,65.06
140,2019-06-28,66.55
141,2019-06-27,66.55
142,2019-06-26,66.49
143,2019-06-25,65.05
144,2019-06-24,64.86
145,2019-06-21,65.2
146,2019-06-20,64.45
147,2019-06-19,61.82
148,2019-06-18,62.14
149,2019-06-17,60.94
150,2019-06-14,62.01
151,2019-06-13,61.31
152,2019-06-12,59.97
153,2019-06-11,62.29
154,2019-06-10,62.29
155,2019-06-07,63.29
156,2019-06-06,61.67
157,2019-06-05,60.63
158,2019-06-04,61.97
159,2019-06-03,61.28
160,2019-05-31,64.49
161,2019-05-30,66.87
162,2019-05-29,69.45
163,2019-05-28,70.11
164,2019-05-27,70.11
165,2019-05-24,68.69
166,2019-05-23,67.76
