,Date,Price
1,2019-01-23,22883.41
2,2019-01-22,22711.76
3,2019-01-21,22813.4
4,2019-01-18,23011.36
5,2019-01-17,23058.97
6,2019-01-16,23148.97
7,2019-01-15,23265.1
8,2019-01-14,23153.71
9,2019-01-11,23127.07
10,2019-01-10,23003.53
11,2019-01-09,23780.72
12,2018-12-29,23765.74
13,2018-12-28,23431.67
14,2018-12-27,23253.52
15,2018-12-26,23205.74
16,2018-12-25,23091.78
17,2018-12-24,22890.73
18,2018-12-21,22629.26
19,2018-12-20,22427.39
20,2018-12-19,22308.43
21,2018-12-18,22093.82
22,2018-12-17,22032.64
23,2018-12-14,22067.35
24,2018-12-13,22128.46
25,2018-12-12,22217.36
26,2018-12-11,22104.56
27,2018-12-10,22231.51
28,2018-12-07,22085.25
29,2018-12-06,22108.47
30,2018-12-05,22038.72
31,2018-12-04,21841.92
32,2018-12-03,21732.7
33,2018-11-30,21872.64
34,2018-11-29,21736.78
35,2018-11-28,21895.44
36,2018-11-27,21834.51
37,2018-11-26,21479.38
38,2018-11-23,21566.96
39,2018-11-22,21604.34
40,2018-11-21,21470.14
41,2018-11-20,21615.9
42,2018-11-19,21474.05
43,2018-11-16,21584.02
44,2018-11-15,21865.14
45,2018-11-14,21692.83
46,2018-11-13,21814.04
47,2018-11-12,21810.95
48,2018-11-09,21682.0
49,2018-11-08,21846.75
50,2018-11-07,21809.95
51,2018-11-06,21685.41
52,2018-11-02,21493.87
53,2018-11-01,21378.32
54,2018-10-31,21476.8
55,2018-10-30,21678.76
56,2018-10-29,21713.14
57,2018-10-26,21681.92
58,2018-10-25,21634.31
59,2018-10-24,21597.93
60,2018-10-23,21374.74
61,2018-10-22,21635.13
62,2018-10-19,21541.23
63,2018-10-18,21473.64
64,2018-10-17,21552.48
65,2018-10-16,21697.9
66,2018-10-15,21520.34
67,2018-10-12,21465.07
68,2018-10-11,21015.21
69,2018-10-10,21102.78
70,2018-10-09,21415.12
71,2018-10-08,21418.2
72,2018-10-05,21255.45
73,2018-10-04,21073.64
74,2018-10-03,20819.08
75,2018-10-02,20802.6
76,2018-10-01,20776.13
77,2018-09-28,21073.9
78,2018-09-27,21098.53
79,2018-09-26,21131.16
80,2018-09-25,21226.32
81,2018-09-24,21412.2
82,2018-09-21,21402.38
83,2018-09-20,21575.36
84,2018-09-19,21749.01
85,2018-09-18,21844.08
86,2018-09-17,22043.63
87,2018-09-14,22166.33
88,2018-09-13,22303.76
89,2018-09-12,22361.29
90,2018-09-11,22361.13
91,2018-09-10,22183.81
92,2018-09-07,21998.59
93,2018-09-06,21891.12
94,2018-09-05,21849.83
95,2018-09-04,21788.31
96,2018-09-03,21978.69
97,2018-08-31,21908.76
98,2018-08-30,21964.63
99,2018-08-29,21873.97
100,2018-08-28,21604.17
101,2018-08-27,21590.18
102,2018-08-24,21775.57
103,2018-08-23,21659.36
104,2018-08-22,21469.56
105,2018-08-21,21374.16
106,2018-08-20,21061.48
107,2018-08-17,21119.76
108,2018-08-16,21082.14
109,2018-08-15,21355.26
110,2018-08-14,21991.68
111,2018-08-13,21697.32
112,2018-08-10,21563.96
113,2018-08-09,20635.01
114,2018-08-08,20669.9
115,2018-08-07,20597.48
116,2018-08-06,20510.56
117,2018-08-03,20574.75
118,2018-08-02,20473.03
119,2018-08-01,20345.24
120,2018-07-31,20533.71
121,2018-07-30,20547.69
122,2018-07-27,20694.38
123,2018-07-26,20776.37
124,2018-07-25,20618.37
125,2018-07-24,20794.68
126,2018-07-23,20813.0
127,2018-07-20,20616.62
128,2018-07-19,20596.56
129,2018-07-18,20781.7
130,2018-07-17,20742.83
131,2018-07-16,20682.05
132,2018-07-13,20725.5
133,2018-07-12,20775.03
134,2018-07-11,20952.69
135,2018-07-10,21233.06
136,2018-07-09,21188.44
137,2018-07-06,21206.26
138,2018-07-05,21269.44
139,2018-07-04,21079.97
140,2018-07-03,21106.52
141,2018-07-02,21004.55
142,2018-06-29,21182.61
143,2018-06-28,21237.14
144,2018-06-27,21127.0
145,2018-06-26,21393.56
146,2018-06-25,21490.37
147,2018-06-22,21574.12
148,2018-06-21,21679.26
149,2018-06-20,21931.49
150,2018-06-19,21769.66
151,2018-06-18,21811.95
152,2018-06-15,21747.6
153,2018-06-14,21865.81
154,2018-06-13,21662.11
155,2018-06-09,21790.97
156,2018-06-08,21478.55
157,2018-06-07,21495.37
158,2018-06-06,21437.17
159,2018-06-05,21458.57
160,2018-06-04,21629.31
161,2018-06-01,21636.56
162,2018-05-31,21755.09
163,2018-05-30,21829.68
164,2018-05-29,21724.54
165,2018-05-28,21520.92
166,2018-05-25,21306.31
167,2018-05-24,21331.96
168,2018-05-23,21214.83
169,2018-05-22,21520.42
170,2018-05-21,21339.12
171,2018-05-18,21325.38
172,2018-05-17,21539.9
173,2018-05-16,21709.39
174,2018-05-15,21833.6
175,2018-05-14,21889.62
176,2018-05-11,22001.5
177,2018-05-10,22091.66
178,2018-05-08,21978.44
179,2018-05-07,22148.02
180,2018-05-04,22314.92
181,2018-05-03,21928.58
182,2018-04-28,22121.7
183,2018-04-27,22148.59
184,2018-04-26,21909.51
185,2018-04-25,21906.52
186,2018-04-24,21953.22
187,2018-04-23,21995.09
188,2018-04-20,21954.88
189,2018-04-19,22183.65
190,2018-04-18,21977.45
191,2018-04-17,22409.25
192,2018-04-16,22043.96
193,2018-04-13,22357.3
194,2018-04-12,23064.56
195,2018-04-11,22300.77
196,2018-04-10,20825.82
197,2018-04-09,20518.39
198,2018-04-06,20450.79
199,2018-04-05,20765.38
200,2018-04-04,20582.91
201,2018-04-03,20297.12
202,2018-04-02,20289.96
203,2018-03-30,20467.11
204,2018-03-29,20659.41
205,2018-03-28,20668.15
206,2018-03-27,20572.09
207,2018-03-26,20516.9
208,2018-03-23,20215.12
209,2018-03-22,20256.24
210,2018-03-21,20273.9
211,2018-03-20,20204.55
212,2018-03-19,20312.77
213,2018-03-16,20195.15
214,2018-03-15,20190.65
215,2018-03-14,20094.92
216,2018-03-13,19958.73
217,2018-03-12,20257.17
218,2018-03-07,20037.07
219,2018-03-06,20268.99
220,2018-03-05,19968.55
221,2018-03-02,19805.06
222,2018-03-01,19920.85
223,2018-02-28,19858.09
224,2018-02-27,20041.23
225,2018-02-26,20106.07
226,2018-02-22,20145.45
227,2018-02-21,20231.03
228,2018-02-20,20318.77
229,2018-02-19,20491.84
230,2018-02-16,20503.58
231,2018-02-15,20511.48
232,2018-02-14,20554.76
233,2018-02-13,20523.14
234,2018-02-12,20489.84
235,2018-02-09,20237.19
236,2018-02-08,20250.42
237,2018-02-07,20592.48
238,2018-02-06,20265.07
239,2018-02-05,20173.5
240,2018-02-02,20194.15
