,Date,Price
1,2019-01-23,1269.28
2,2019-01-22,1283.26
3,2019-01-21,1291.43
4,2019-01-18,1290.65
5,2019-01-17,1301.54
6,2019-01-16,1309.31
7,2019-01-15,1316.7
8,2019-01-14,1313.59
9,2019-01-11,1305.43
10,2019-01-10,1311.25
11,2019-01-09,1327.98
12,2018-12-29,1308.15
13,2018-12-28,1263.44
14,2018-12-27,1263.44
15,2018-12-26,1260.71
16,2018-12-25,1256.05
17,2018-12-24,1255.28
18,2018-12-21,1233.11
19,2018-12-20,1229.23
20,2018-12-19,1217.95
21,2018-12-18,1214.06
22,2018-12-17,1218.74
23,2018-12-14,1213.68
24,2018-12-13,1215.24
25,2018-12-12,1207.85
26,2018-12-11,1199.3
27,2018-12-10,1202.79
28,2018-12-07,1207.85
29,2018-12-06,1214.85
30,2018-12-05,1194.63
31,2018-12-04,1179.46
32,2018-12-03,1186.08
33,2018-11-30,1178.3
34,2018-11-29,1194.24
35,2018-11-28,1200.08
36,2018-11-27,1184.91
37,2018-11-26,1191.53
38,2018-11-23,1182.58
39,2018-11-22,1190.35
40,2018-11-21,1177.14
41,2018-11-20,1178.69
42,2018-11-19,1165.48
43,2018-11-16,1163.14
44,2018-11-15,1191.53
45,2018-11-14,1197.74
46,2018-11-13,1210.18
47,2018-11-12,1210.56
48,2018-11-09,1214.06
49,2018-11-08,1214.45
50,2018-11-07,1215.24
51,2018-11-06,1184.53
52,2018-11-02,1176.75
53,2018-11-01,1182.58
54,2018-10-31,1204.35
55,2018-10-30,1208.24
56,2018-10-29,1205.13
57,2018-10-26,1211.35
58,2018-10-25,1209.4
59,2018-10-24,1201.24
60,2018-10-23,1194.24
61,2018-10-22,1201.63
62,2018-10-19,1192.3
63,2018-10-18,1197.74
64,2018-10-17,1208.63
65,2018-10-16,1211.35
66,2018-10-15,1203.96
67,2018-10-12,1201.63
68,2018-10-11,1189.19
69,2018-10-10,1188.8
70,2018-10-09,1210.56
71,2018-10-08,1218.74
72,2018-10-05,1210.56
73,2018-10-04,1204.74
74,2018-10-03,1182.58
75,2018-10-02,1192.69
76,2018-10-01,1172.86
77,2018-09-28,1186.46
78,2018-09-27,1189.58
79,2018-09-26,1175.58
80,2018-09-25,1183.75
81,2018-09-24,1186.46
82,2018-09-21,1182.19
83,2018-09-20,1188.03
84,2018-09-19,1203.19
85,2018-09-18,1207.85
86,2018-09-17,1213.29
87,2018-09-14,1220.29
88,2018-09-13,1230.79
89,2018-09-12,1235.45
90,2018-09-11,1241.28
91,2018-09-10,1223.79
92,2018-09-07,1216.79
93,2018-09-06,1212.51
94,2018-09-05,1216.01
95,2018-09-04,1230.0
96,2018-09-03,1246.34
97,2018-08-31,1247.89
98,2018-08-30,1251.0
99,2018-08-29,1254.89
100,2018-08-28,1231.56
101,2018-08-27,1238.56
102,2018-08-24,1252.55
103,2018-08-23,1251.78
104,2018-08-22,1241.28
105,2018-08-21,1238.95
106,2018-08-20,1225.34
107,2018-08-17,1221.06
108,2018-08-16,1230.0
109,2018-08-15,1254.5
110,2018-08-14,1294.93
111,2018-08-13,1285.6
112,2018-08-10,1282.49
113,2018-08-09,1219.51
114,2018-08-08,1228.06
115,2018-08-07,1217.95
116,2018-08-06,1218.34
117,2018-08-03,1219.13
118,2018-08-02,1210.18
119,2018-08-01,1202.4
120,2018-07-31,1215.63
121,2018-07-30,1208.63
122,2018-07-27,1222.23
123,2018-07-26,1227.29
124,2018-07-25,1219.9
125,2018-07-24,1223.01
126,2018-07-23,1219.51
127,2018-07-20,1206.68
128,2018-07-19,1213.68
129,2018-07-18,1230.79
130,2018-07-17,1230.0
131,2018-07-16,1230.79
132,2018-07-13,1231.56
