,Date,Price
0,2020-01-10,184.13
1,2020-01-09,183.56
2,2020-01-08,183.38
3,2020-01-07,186.93
4,2020-01-06,187.39
5,2020-01-03,186.9
6,2020-01-02,185.53
7,2019-12-31,185.79
8,2019-12-30,186.85
9,2019-12-27,187.18
10,2019-12-26,186.68
11,2019-12-24,185.53
12,2019-12-23,184.47
13,2019-12-20,185.04
14,2019-12-19,185.13
15,2019-12-18,184.96
16,2019-12-17,185.28
17,2019-12-16,185.21
18,2019-12-13,183.81
19,2019-12-12,182.92
20,2019-12-11,181.49
21,2019-12-10,182.17
22,2019-12-09,181.17
23,2019-12-06,181.19
24,2019-12-05,180.07
25,2019-12-04,179.4
26,2019-12-03,177.59
27,2019-12-02,177.12
28,2019-11-29,176.66
29,2019-11-27,180.35
30,2019-11-26,181.1
31,2019-11-25,180.57
32,2019-11-22,180.37
33,2019-11-21,180.73
34,2019-11-20,178.96
35,2019-11-19,177.16
36,2019-11-18,179.18
37,2019-11-15,181.0
38,2019-11-14,180.09
39,2019-11-13,180.31
40,2019-11-12,179.8
41,2019-11-11,179.41
42,2019-11-08,181.28
43,2019-11-07,180.98
44,2019-11-06,180.51
45,2019-11-05,182.09
46,2019-11-04,181.09
47,2019-11-01,180.27
48,2019-10-31,176.89
49,2019-10-30,178.31
50,2019-10-29,178.38
51,2019-10-28,178.28
52,2019-10-25,178.37
53,2019-10-24,177.71
54,2019-10-23,177.3
55,2019-10-22,175.51
56,2019-10-21,174.74
57,2019-10-18,175.75
58,2019-10-17,175.53
59,2019-10-16,174.98
60,2019-10-15,174.75
61,2019-10-14,174.99
62,2019-10-11,176.04
63,2019-10-10,173.58
64,2019-10-09,173.07
65,2019-10-08,173.32
66,2019-10-07,173.1
67,2019-10-04,173.49
68,2019-10-03,173.41
69,2019-10-02,172.94
70,2019-10-01,174.09
71,2019-09-30,173.94
72,2019-09-27,175.72
73,2019-09-26,176.23
74,2019-09-25,176.64
75,2019-09-24,177.19
76,2019-09-23,178.65
77,2019-09-20,177.34
78,2019-09-19,177.76
79,2019-09-18,177.63
80,2019-09-17,178.79
81,2019-09-16,183.17
82,2019-09-13,174.79
83,2019-09-12,174.46
84,2019-09-11,173.73
85,2019-09-10,174.94
86,2019-09-09,174.31
87,2019-09-06,172.62
88,2019-09-05,172.35
89,2019-09-04,172.7
90,2019-09-03,169.19
91,2019-08-30,170.36
92,2019-08-29,172.08
93,2019-08-28,171.2
94,2019-08-27,169.7
95,2019-08-26,168.91
96,2019-08-23,168.61
97,2019-08-22,170.32
98,2019-08-21,170.91
99,2019-08-20,170.9
100,2019-08-19,170.78
101,2019-08-16,170.41
102,2019-08-15,170.03
103,2019-08-14,170.64
104,2019-08-13,173.09
105,2019-08-12,170.62
106,2019-08-09,172.09
107,2019-08-08,170.32
108,2019-08-07,167.89
109,2019-08-06,170.54
110,2019-08-05,171.49
111,2019-08-02,173.35
112,2019-08-01,172.8
113,2019-07-31,178.53
114,2019-07-30,178.34
115,2019-07-29,177.8
116,2019-07-26,177.16
117,2019-07-25,177.88
118,2019-07-24,178.22
119,2019-07-23,179.04
120,2019-07-22,178.55
121,2019-07-19,178.59
122,2019-07-18,177.45
123,2019-07-17,179.42
124,2019-07-16,180.08
125,2019-07-15,183.08
126,2019-07-12,184.36
127,2019-07-11,183.68
128,2019-07-10,184.17
129,2019-07-09,180.71
130,2019-07-08,180.68
131,2019-07-05,180.78
132,2019-07-03,180.48
133,2019-07-02,177.84
134,2019-07-01,181.14
135,2019-06-28,181.04
136,2019-06-27,182.48
137,2019-06-26,182.36
138,2019-06-25,180.88
139,2019-06-24,179.99
140,2019-06-21,178.52
141,2019-06-20,178.63
142,2019-06-19,175.43
143,2019-06-18,176.1
144,2019-06-17,174.42
145,2019-06-14,174.81
146,2019-06-13,174.42
147,2019-06-12,173.24
148,2019-06-11,174.87
149,2019-06-10,174.07
150,2019-06-07,174.42
151,2019-06-06,173.87
152,2019-06-05,172.34
153,2019-06-04,175.49
154,2019-06-03,174.72
155,2019-05-31,175.36
156,2019-05-30,178.76
157,2019-05-29,180.34
158,2019-05-28,180.26
159,2019-05-24,178.63
160,2019-05-23,176.92
161,2019-05-22,179.54
162,2019-05-21,181.97
163,2019-05-20,181.7
164,2019-05-17,180.99
165,2019-05-16,182.32
166,2019-05-15,180.66
167,2019-05-14,179.99
168,2019-05-13,177.64
169,2019-05-10,178.95
170,2019-05-09,179.01
171,2019-05-08,179.75
172,2019-05-07,179.49
173,2019-05-06,180.68
174,2019-05-03,181.77
175,2019-05-02,181.9
176,2019-05-01,183.66
177,2019-04-30,184.25
178,2019-04-29,184.18
179,2019-04-26,184.66
180,2019-04-25,185.96
181,2019-04-24,186.49
182,2019-04-23,187.58
183,2019-04-22,187.92
184,2019-04-18,187.13
185,2019-04-17,186.6
186,2019-04-16,187.28
187,2019-04-15,187.41
188,2019-04-12,188.36
189,2019-04-11,187.33
190,2019-04-10,189.66
191,2019-04-09,188.56
192,2019-04-08,188.7
193,2019-04-05,187.68
194,2019-04-04,187.04
195,2019-04-03,186.85
196,2019-04-02,186.37
197,2019-04-01,185.46
198,2019-03-29,183.75
199,2019-03-28,183.33
200,2019-03-27,183.94
201,2019-03-26,185.23
202,2019-03-25,184.31
203,2019-03-22,184.15
204,2019-03-21,185.37
205,2019-03-20,185.6
206,2019-03-19,185.24
207,2019-03-18,184.86
208,2019-03-15,183.87
209,2019-03-14,183.39
210,2019-03-13,183.41
211,2019-03-12,181.31
212,2019-03-11,180.5
213,2019-03-08,180.67
214,2019-03-07,180.87
215,2019-03-06,181.23
216,2019-03-05,181.9
217,2019-03-04,181.09
218,2019-03-01,181.5
219,2019-02-28,182.75
220,2019-02-27,183.23
221,2019-02-26,181.4
222,2019-02-25,181.75
223,2019-02-22,184.06
224,2019-02-21,183.41
225,2019-02-20,183.27
226,2019-02-19,182.24
227,2019-02-15,181.33
228,2019-02-14,178.72
229,2019-02-13,178.72
230,2019-02-12,178.21
231,2019-02-11,177.11
232,2019-02-08,178.04
233,2019-02-07,178.1
234,2019-02-06,180.56
235,2019-02-05,179.95
236,2019-02-04,180.61
237,2019-02-01,180.55
238,2019-01-31,179.64
239,2019-01-30,180.11
240,2019-01-29,179.18
241,2019-01-28,177.47
242,2019-01-25,180.68
243,2019-01-24,179.24
244,2019-01-23,178.66
245,2019-01-22,178.99
246,2019-01-18,182.21
247,2019-01-17,179.76
248,2019-01-16,179.64
249,2019-01-15,178.98
250,2019-01-14,177.79
