,Date,Price
0,2019-04-04,11932.57
1,2019-04-03,11954.4
2,2019-04-02,11754.79
3,2019-04-01,11681.99
4,2019-03-29,11526.04
5,2019-03-28,11428.16
6,2019-03-27,11419.04
7,2019-03-26,11419.48
8,2019-03-25,11346.65
9,2019-03-22,11364.17
10,2019-03-21,11549.96
11,2019-03-20,11603.89
12,2019-03-19,11788.41
13,2019-03-18,11657.06
14,2019-03-15,11685.69
15,2019-03-14,11587.47
16,2019-03-13,11572.41
17,2019-03-12,11524.17
18,2019-03-11,11543.48
19,2019-03-08,11457.84
20,2019-03-07,11517.8
21,2019-03-06,11587.63
22,2019-03-05,11620.74
23,2019-03-04,11592.66
24,2019-03-01,11601.68
25,2019-02-28,11515.64
26,2019-02-27,11487.33
27,2019-02-26,11540.79
28,2019-02-25,11505.39
29,2019-02-22,11457.7
30,2019-02-21,11423.28
31,2019-02-20,11401.97
32,2019-02-19,11309.21
33,2019-02-18,11299.2
34,2019-02-15,11299.8
35,2019-02-14,11089.79
36,2019-02-13,11167.22
37,2019-02-12,11126.08
38,2019-02-11,11014.59
39,2019-02-08,10906.78
40,2019-02-07,11022.02
41,2019-02-06,11324.72
42,2019-02-05,11367.98
43,2019-02-04,11176.58
44,2019-02-01,11180.66
45,2019-01-31,11173.1
46,2019-01-30,11181.66
47,2019-01-29,11218.83
48,2019-01-28,11210.31
49,2019-01-25,11281.79
50,2019-01-24,11130.18
51,2019-01-23,11071.54
52,2019-01-22,11090.11
53,2019-01-21,11136.2
54,2019-01-18,11205.54
55,2019-01-17,10918.62
56,2019-01-16,10931.24
57,2019-01-15,10891.79
58,2019-01-14,10855.91
59,2019-01-11,10887.46
60,2019-01-10,10921.59
61,2019-01-09,10893.32
62,2019-01-08,10803.98
63,2019-01-07,10747.81
64,2019-01-04,10767.69
65,2019-01-03,10416.66
66,2019-01-02,10580.19
67,2018-12-28,10558.96
68,2018-12-27,10381.51
69,2018-12-21,10633.82
70,2018-12-20,10611.1
71,2018-12-19,10766.21
72,2018-12-18,10740.89
73,2018-12-17,10772.2
74,2018-12-14,10865.77
75,2018-12-13,10924.7
76,2018-12-12,10929.43
77,2018-12-11,10780.51
78,2018-12-10,10622.07
79,2018-12-07,10788.09
80,2018-12-06,10810.98
81,2018-12-05,11200.24
82,2018-12-04,11335.32
83,2018-12-03,11465.46
84,2018-11-30,11257.24
85,2018-11-29,11298.23
86,2018-11-28,11298.88
87,2018-11-27,11309.11
88,2018-11-26,11354.72
89,2018-11-23,11192.69
90,2018-11-22,11138.49
91,2018-11-21,11244.17
92,2018-11-20,11066.41
93,2018-11-19,11244.54
94,2018-11-16,11341.0
95,2018-11-15,11353.67
96,2018-11-14,11412.53
97,2018-11-13,11472.22
98,2018-11-12,11325.44
99,2018-11-09,11529.16
100,2018-11-08,11527.32
101,2018-11-07,11579.1
102,2018-11-06,11484.34
103,2018-11-05,11494.96
104,2018-11-02,11518.99
105,2018-11-01,11468.54
106,2018-10-31,11447.51
107,2018-10-30,11287.39
108,2018-10-29,11335.48
109,2018-10-26,11200.62
110,2018-10-25,11307.12
111,2018-10-24,11191.63
112,2018-10-23,11274.28
113,2018-10-22,11524.34
114,2018-10-19,11553.83
115,2018-10-18,11589.21
