,Date,Terms,Borrowed,Offered,Cut Rat,Avg Rate
6,2019-03-05,1 день,8600.0,8731.0,7.75,7.68
7,2019-03-04,1 день,7700.0,9496.0,7.72,7.7
8,2019-03-01,3 дня,3000.0,5671.0,7.69,7.68
9,2019-02-27,2 дня,3173.0,3173.0,7.75,7.73
12,2019-02-15,5 дней,5000.0,6211.0,7.74,7.71
15,2019-02-05,1 день,1348.0,1348.0,7.75,7.7
16,2019-02-04,1 день,1300.0,1302.8,7.75,7.7
21,2018-12-29,6 дней,2497.0,2497.0,7.75,7.67
26,2018-12-04,1 день,6281.0,6281.0,7.5,7.47
27,2018-12-03,1 день,7200.0,7224.0,7.5,7.45
28,2018-11-30,3 дня,1889.0,1889.0,7.5,7.43
31,2018-11-19,2 дня,4000.0,4263.0,7.5,7.46
34,2018-11-06,1 день,3830.0,3830.0,7.5,7.38
35,2018-11-02,4 дня,6300.0,9966.0,7.4,7.38
40,2018-10-09,1 день,6317.0,6317.0,7.5,7.43
