,Date,Yield Value
1,2019-01-22,2.04
2,2019-01-31,2.08
3,2018-12-31,2.09
4,2018-11-30,1.96
5,2018-10-31,1.9
6,2018-09-30,1.8
7,2018-08-31,1.82
8,2018-07-31,1.84
9,2018-06-30,1.85
10,2018-05-31,1.88
11,2018-04-30,1.9
12,2018-03-31,1.85
13,2018-02-28,1.84
14,2018-01-31,1.77
15,2017-12-31,1.84
16,2017-11-30,1.88
17,2017-10-31,1.89
18,2017-09-30,1.93
19,2017-08-31,1.95
20,2017-07-31,1.94
21,2017-06-30,1.94
22,2017-05-31,1.96
23,2017-04-30,1.98
24,2017-03-31,1.96
25,2017-02-28,1.98
26,2017-01-31,2.02
27,2016-12-31,2.03
28,2016-11-30,2.1
29,2016-10-31,2.11
30,2016-09-30,2.09
31,2016-08-31,2.07
32,2016-07-31,2.08
33,2016-06-30,2.13
34,2016-05-31,2.14
35,2016-04-30,2.12
36,2016-03-31,2.17
37,2016-02-29,2.3
38,2016-01-31,2.27
39,2015-12-31,2.11
40,2015-11-30,2.07
41,2015-10-31,2.11
42,2015-09-30,2.19
43,2015-08-31,2.07
44,2015-07-31,2.01
45,2015-06-30,1.99
46,2015-05-31,1.96
47,2015-04-30,1.96
48,2015-03-31,1.96
49,2015-02-28,1.94
50,2015-01-31,1.97
51,2014-12-31,1.92
52,2014-11-30,1.91
53,2014-10-31,2.0
54,2014-09-30,1.93
55,2014-08-31,1.94
56,2014-07-31,1.91
57,2014-06-30,1.92
58,2014-05-31,1.96
59,2014-04-30,1.96
60,2014-03-31,1.94
61,2014-02-28,1.97
62,2014-01-31,1.94
63,2013-12-31,1.94
64,2013-11-30,1.95
65,2013-10-31,2.01
66,2013-09-30,2.04
67,2013-08-31,2.04
68,2013-07-31,2.02
69,2013-06-30,2.06
70,2013-05-31,2.01
71,2013-04-30,2.07
72,2013-03-31,2.07
73,2013-02-28,2.1
74,2013-01-31,2.13
75,2012-12-31,2.2
76,2012-11-30,2.2
77,2012-10-31,2.1
78,2012-09-30,2.05
79,2012-08-31,2.08
80,2012-07-31,2.11
81,2012-06-30,2.14
82,2012-05-31,2.09
83,2012-04-30,2.0
84,2012-03-31,1.97
85,2012-02-29,2.0
86,2012-01-31,2.06
87,2011-12-31,2.13
88,2011-11-30,2.12
89,2011-10-31,2.12
90,2011-09-30,2.15
91,2011-08-31,2.1
92,2011-07-31,1.86
93,2011-06-30,1.89
94,2011-05-31,1.8
95,2011-04-30,1.78
96,2011-03-31,1.8
97,2011-02-28,1.76
98,2011-01-31,1.79
99,2010-12-31,1.83
100,2010-11-30,1.89
101,2010-10-31,1.92
102,2010-09-30,1.99
103,2010-08-31,2.05
104,2010-07-31,2.05
105,2010-06-30,2.03
106,2010-05-31,1.95
107,2010-04-30,1.83
108,2010-03-31,1.9
109,2010-02-28,2.03
110,2010-01-31,1.98
111,2009-12-31,2.02
112,2009-11-30,2.1
113,2009-10-31,2.19
114,2009-09-30,2.29
115,2009-08-31,2.42
116,2009-07-31,2.67
117,2009-06-30,2.76
118,2009-05-31,2.9
119,2009-04-30,3.15
120,2009-03-31,3.6
121,2009-02-28,3.43
122,2009-01-31,3.24
