,Date,Price
0,2019-04-03,26217.76
1,2019-04-02,26179.13
2,2019-04-01,26258.42
3,2019-03-29,25928.68
4,2019-03-28,25717.46
5,2019-03-27,25625.59
6,2019-03-26,25657.73
7,2019-03-25,25516.83
8,2019-03-22,25502.32
9,2019-03-21,25962.51
10,2019-03-20,25745.67
11,2019-03-19,25887.38
12,2019-03-18,25914.1
13,2019-03-15,25848.87
14,2019-03-14,25709.94
15,2019-03-13,25702.89
16,2019-03-12,25554.66
17,2019-03-11,25650.88
18,2019-03-08,25450.24
19,2019-03-07,25473.23
20,2019-03-06,25673.46
21,2019-03-05,25806.63
22,2019-03-04,25819.65
23,2019-03-01,26026.32
24,2019-02-28,25916.0
25,2019-02-27,25985.16
26,2019-02-26,26057.98
27,2019-02-25,26091.95
28,2019-02-22,26031.81
29,2019-02-21,25850.63
30,2019-02-20,25954.44
31,2019-02-19,25891.32
32,2019-02-15,25883.25
33,2019-02-14,25439.39
34,2019-02-13,25543.27
35,2019-02-12,25425.76
36,2019-02-11,25053.11
37,2019-02-08,25106.33
38,2019-02-07,25169.53
39,2019-02-06,25390.3
40,2019-02-05,25411.52
41,2019-02-04,25239.37
42,2019-02-01,25063.89
43,2019-01-31,24999.67
44,2019-01-30,25014.86
45,2019-01-29,24579.96
46,2019-01-28,24528.22
47,2019-01-25,24737.2
48,2019-01-24,24553.24
49,2019-01-23,24575.62
50,2019-01-22,24404.48
51,2019-01-18,24706.35
52,2019-01-17,24370.1
53,2019-01-16,24207.16
54,2019-01-15,24065.59
55,2019-01-14,23909.84
56,2019-01-11,23995.95
57,2019-01-10,24001.92
58,2019-01-09,23879.12
59,2019-01-08,23787.45
60,2019-01-07,23531.35
61,2019-01-04,23433.16
62,2019-01-03,22686.22
63,2019-01-02,23346.24
64,2018-12-31,23327.46
65,2018-12-28,23062.4
66,2018-12-27,23138.82
67,2018-12-26,22878.45
68,2018-12-24,21792.2
69,2018-12-21,22445.37
70,2018-12-20,22859.6
71,2018-12-19,23323.66
72,2018-12-18,23675.64
73,2018-12-17,23592.98
74,2018-12-14,24100.51
75,2018-12-13,24597.38
76,2018-12-12,24527.27
77,2018-12-11,24370.24
78,2018-12-10,24423.26
79,2018-12-07,24388.95
80,2018-12-06,24947.67
81,2018-12-04,25027.07
82,2018-12-03,25826.43
83,2018-11-30,25538.46
84,2018-11-29,25338.84
85,2018-11-28,25366.43
86,2018-11-27,24748.73
87,2018-11-26,24640.24
88,2018-11-23,24285.95
89,2018-11-21,24464.69
90,2018-11-20,24465.64
91,2018-11-19,25017.44
92,2018-11-16,25413.22
93,2018-11-15,25289.27
94,2018-11-14,25080.5
95,2018-11-13,25286.49
96,2018-11-12,25387.18
97,2018-11-09,25989.3
98,2018-11-08,26191.22
99,2018-11-07,26180.3
100,2018-11-06,25635.01
101,2018-11-05,25461.7
102,2018-11-02,25270.83
103,2018-11-01,25380.74
104,2018-10-31,25115.76
105,2018-10-30,24874.64
106,2018-10-29,24442.92
107,2018-10-26,24688.31
108,2018-10-25,24984.55
109,2018-10-24,24583.42
110,2018-10-23,25191.43
111,2018-10-22,25317.41
112,2018-10-19,25444.34
113,2018-10-18,25379.45
114,2018-10-17,25706.68
115,2018-10-16,25798.42
116,2018-10-15,25250.55
117,2018-10-12,25339.99
118,2018-10-11,25052.83
119,2018-10-10,25598.74
120,2018-10-09,26430.57
121,2018-10-08,26486.78
122,2018-10-05,26447.05
123,2018-10-04,26627.48
124,2018-10-03,26828.39
125,2018-10-02,26773.94
126,2018-10-01,26651.21
127,2018-09-28,26458.31
128,2018-09-27,26439.93
129,2018-09-26,26385.28
130,2018-09-25,26492.21
131,2018-09-24,26562.05
132,2018-09-21,26743.5
133,2018-09-20,26656.98
134,2018-09-19,26405.76
135,2018-09-18,26246.96
136,2018-09-17,26062.12
137,2018-09-14,26154.67
138,2018-09-13,26145.99
139,2018-09-12,25998.92
140,2018-09-11,25971.06
141,2018-09-10,25857.07
142,2018-09-07,25916.54
143,2018-09-06,25995.87
144,2018-09-05,25974.99
145,2018-09-04,25952.48
146,2018-08-31,25964.82
147,2018-08-30,25986.92
148,2018-08-29,26124.57
149,2018-08-28,26064.02
150,2018-08-27,26049.64
151,2018-08-24,25790.35
152,2018-08-23,25656.98
153,2018-08-22,25733.6
154,2018-08-21,25822.29
155,2018-08-20,25758.69
156,2018-08-17,25669.32
157,2018-08-16,25558.73
158,2018-08-15,25162.41
159,2018-08-14,25299.92
160,2018-08-13,25187.7
161,2018-08-10,25313.14
162,2018-08-09,25509.23
163,2018-08-08,25583.75
164,2018-08-07,25628.91
165,2018-08-06,25502.18
166,2018-08-03,25462.58
167,2018-08-02,25326.16
168,2018-08-01,25333.82
169,2018-07-31,25415.19
170,2018-07-30,25306.83
171,2018-07-27,25451.06
172,2018-07-26,25527.07
173,2018-07-25,25414.1
174,2018-07-24,25241.94
175,2018-07-23,25044.29
176,2018-07-20,25058.12
177,2018-07-19,25064.5
178,2018-07-18,25199.29
179,2018-07-17,25119.89
180,2018-07-16,25064.36
181,2018-07-13,25019.41
182,2018-07-12,24924.89
183,2018-07-11,24700.45
184,2018-07-10,24919.66
185,2018-07-09,24776.59
186,2018-07-06,24456.48
187,2018-07-05,24356.74
188,2018-07-03,24174.82
189,2018-07-02,24307.18
190,2018-06-29,24271.41
191,2018-06-28,24216.05
192,2018-06-27,24117.59
193,2018-06-26,24283.11
194,2018-06-25,24252.8
195,2018-06-22,24580.89
196,2018-06-21,24461.7
197,2018-06-20,24657.8
198,2018-06-19,24700.21
199,2018-06-18,24987.47
200,2018-06-15,25090.48
201,2018-06-14,25175.31
202,2018-06-13,25201.2
203,2018-06-12,25320.73
204,2018-06-11,25322.31
205,2018-06-08,25316.53
206,2018-06-07,25241.41
207,2018-06-06,25146.39
208,2018-06-05,24799.98
209,2018-06-04,24813.69
210,2018-06-01,24635.21
211,2018-05-31,24415.84
212,2018-05-30,24667.78
213,2018-05-29,24361.45
214,2018-05-25,24753.09
215,2018-05-24,24811.76
216,2018-05-23,24886.81
217,2018-05-22,24834.41
218,2018-05-21,25013.29
219,2018-05-18,24715.09
220,2018-05-17,24713.98
221,2018-05-16,24768.93
222,2018-05-15,24706.41
223,2018-05-14,24899.41
224,2018-05-11,24831.17
225,2018-05-10,24739.53
226,2018-05-09,24542.54
227,2018-05-08,24360.21
228,2018-05-07,24357.32
229,2018-05-04,24262.51
230,2018-05-03,23930.15
231,2018-05-02,23924.98
232,2018-05-01,24099.05
233,2018-04-30,24163.15
234,2018-04-27,24311.19
235,2018-04-26,24322.34
236,2018-04-25,24083.83
237,2018-04-24,24024.13
238,2018-04-23,24448.69
239,2018-04-20,24462.94
240,2018-04-19,24664.89
241,2018-04-18,24748.07
242,2018-04-17,24786.63
243,2018-04-16,24573.04
244,2018-04-13,24360.14
245,2018-04-12,24483.05
246,2018-04-11,24189.45
247,2018-04-10,24408.0
248,2018-04-09,23979.1
249,2018-04-06,23932.76
250,2018-04-05,24505.22
251,2018-04-04,24264.3
252,2018-04-03,24033.36
253,2018-04-02,23644.19
254,2018-03-29,24103.11
255,2018-03-28,23848.42
256,2018-03-27,23857.71
257,2018-03-26,24202.6
258,2018-03-23,23533.2
259,2018-03-22,23957.89
260,2018-03-21,24682.31
261,2018-03-20,24727.27
262,2018-03-19,24610.91
263,2018-03-16,24946.51
264,2018-03-15,24873.66
265,2018-03-14,24758.12
266,2018-03-13,25007.03
267,2018-03-12,25178.61
268,2018-03-09,25335.74
269,2018-03-08,24895.21
270,2018-03-07,24801.36
271,2018-03-06,24884.12
272,2018-03-05,24874.76
273,2018-03-02,24538.06
274,2018-03-01,24608.98
275,2018-02-28,25029.2
276,2018-02-27,25410.03
277,2018-02-26,25709.27
278,2018-02-23,25309.99
279,2018-02-22,24962.48
280,2018-02-21,24797.78
281,2018-02-20,24964.75
282,2018-02-16,25219.38
283,2018-02-15,25200.37
284,2018-02-14,24893.49
285,2018-02-13,24640.45
286,2018-02-12,24601.27
287,2018-02-09,24190.9
288,2018-02-08,23860.46
289,2018-02-07,24893.35
290,2018-02-06,24912.77
291,2018-02-05,24345.75
292,2018-02-02,25520.96
293,2018-02-01,26186.71
294,2018-01-31,26149.39
295,2018-01-30,26076.89
296,2018-01-29,26439.48
297,2018-01-26,26616.71
298,2018-01-25,26392.79
299,2018-01-24,26252.12
300,2018-01-23,26210.81
301,2018-01-22,26214.6
302,2018-01-19,26071.72
303,2018-01-18,26017.81
304,2018-01-17,26115.65
305,2018-01-16,25792.86
306,2018-01-12,25803.19
307,2018-01-11,25574.73
308,2018-01-10,25369.13
309,2018-01-09,25385.8
310,2018-01-08,25283.0
311,2018-01-05,25295.87
312,2018-01-04,25075.13
313,2018-01-03,24922.68
314,2018-01-02,24824.01
315,2017-12-29,24719.22
316,2017-12-28,24837.51
317,2017-12-27,24774.3
318,2017-12-26,24746.21
319,2017-12-22,24754.06
320,2017-12-21,24782.29
321,2017-12-20,24726.65
322,2017-12-19,24754.75
323,2017-12-18,24792.2
324,2017-12-15,24651.74
325,2017-12-14,24508.66
326,2017-12-13,24585.43
327,2017-12-12,24504.8
328,2017-12-11,24386.03
329,2017-12-08,24329.16
330,2017-12-07,24211.48
331,2017-12-06,24140.91
332,2017-12-05,24180.64
333,2017-12-04,24290.05
334,2017-12-01,24231.59
335,2017-11-30,24272.35
336,2017-11-29,23940.68
337,2017-11-28,23836.71
338,2017-11-27,23580.78
339,2017-11-24,23557.99
340,2017-11-22,23526.18
341,2017-11-21,23590.83
342,2017-11-20,23430.33
343,2017-11-17,23358.24
344,2017-11-16,23458.36
345,2017-11-15,23271.28
346,2017-11-14,23409.47
347,2017-11-13,23439.7
348,2017-11-10,23422.21
349,2017-11-09,23461.94
350,2017-11-08,23563.36
351,2017-11-07,23557.23
352,2017-11-06,23548.42
353,2017-11-03,23539.19
354,2017-11-02,23516.26
355,2017-11-01,23435.01
356,2017-10-31,23377.24
357,2017-10-30,23348.74
358,2017-10-27,23434.19
359,2017-10-26,23400.86
360,2017-10-25,23329.46
361,2017-10-24,23441.76
362,2017-10-23,23273.96
363,2017-10-20,23328.63
364,2017-10-19,23163.04
365,2017-10-18,23157.6
366,2017-10-17,22997.44
367,2017-10-16,22956.96
368,2017-10-13,22871.72
369,2017-10-12,22841.01
370,2017-10-11,22872.89
371,2017-10-10,22830.68
372,2017-10-09,22761.07
373,2017-10-06,22773.67
374,2017-10-05,22775.39
375,2017-10-04,22661.64
376,2017-10-03,22641.67
377,2017-10-02,22557.6
378,2017-09-29,22405.09
379,2017-09-28,22381.2
380,2017-09-27,22340.71
381,2017-09-26,22284.32
382,2017-09-25,22296.09
383,2017-09-22,22349.59
384,2017-09-21,22359.23
385,2017-09-20,22412.59
386,2017-09-19,22370.8
387,2017-09-18,22331.35
388,2017-09-15,22268.34
389,2017-09-14,22203.48
390,2017-09-13,22158.18
391,2017-09-12,22118.86
392,2017-09-11,22057.37
393,2017-09-08,21797.79
394,2017-09-07,21784.78
395,2017-09-06,21807.64
396,2017-09-05,21753.31
397,2017-09-01,21987.56
398,2017-08-31,21948.1
399,2017-08-30,21892.43
400,2017-08-29,21865.37
401,2017-08-28,21808.4
402,2017-08-25,21813.67
403,2017-08-24,21783.4
404,2017-08-23,21812.09
405,2017-08-22,21899.89
406,2017-08-21,21703.75
407,2017-08-18,21674.51
408,2017-08-17,21750.73
409,2017-08-16,22024.87
410,2017-08-15,21998.99
411,2017-08-14,21993.71
412,2017-08-11,21858.32
413,2017-08-10,21844.01
414,2017-08-09,22048.7
415,2017-08-08,22085.34
416,2017-08-07,22118.42
417,2017-08-04,22092.81
418,2017-08-03,22026.1
419,2017-08-02,22016.24
420,2017-08-01,21963.92
421,2017-07-31,21891.12
422,2017-07-28,21830.31
423,2017-07-27,21796.55
424,2017-07-26,21711.01
425,2017-07-25,21613.43
426,2017-07-24,21513.17
427,2017-07-21,21580.07
428,2017-07-20,21611.78
429,2017-07-19,21640.75
430,2017-07-18,21574.73
431,2017-07-17,21629.72
432,2017-07-14,21637.74
433,2017-07-13,21553.09
434,2017-07-12,21532.14
435,2017-07-11,21409.07
436,2017-07-10,21408.52
437,2017-07-07,21414.34
438,2017-07-06,21320.04
439,2017-07-05,21478.17
440,2017-07-03,21479.27
441,2017-06-30,21349.63
442,2017-06-29,21287.03
443,2017-06-28,21454.61
444,2017-06-27,21310.66
445,2017-06-26,21409.55
446,2017-06-23,21394.76
447,2017-06-22,21397.29
448,2017-06-21,21410.03
449,2017-06-20,21467.14
450,2017-06-19,21528.99
451,2017-06-16,21384.28
452,2017-06-15,21359.9
453,2017-06-14,21374.56
454,2017-06-13,21328.47
455,2017-06-12,21235.67
456,2017-06-09,21271.97
457,2017-06-08,21182.53
458,2017-06-07,21173.69
459,2017-06-06,21136.23
460,2017-06-05,21184.04
461,2017-06-02,21206.29
462,2017-06-01,21144.18
463,2017-05-31,21008.65
464,2017-05-30,21029.47
465,2017-05-26,21080.28
466,2017-05-25,21082.95
467,2017-05-24,21012.42
468,2017-05-23,20937.91
469,2017-05-22,20894.83
470,2017-05-19,20804.84
471,2017-05-18,20663.02
472,2017-05-17,20606.93
473,2017-05-16,20979.75
474,2017-05-15,20981.94
475,2017-05-12,20896.61
476,2017-05-11,20919.42
477,2017-05-10,20943.11
478,2017-05-09,20975.78
479,2017-05-08,21012.28
480,2017-05-05,21006.94
481,2017-05-04,20951.47
482,2017-05-03,20957.9
483,2017-05-02,20949.89
484,2017-05-01,20913.46
485,2017-04-28,20940.51
486,2017-04-27,20981.33
487,2017-04-26,20975.09
488,2017-04-25,20996.12
489,2017-04-24,20763.89
490,2017-04-21,20547.76
491,2017-04-20,20578.71
492,2017-04-19,20404.49
493,2017-04-18,20523.28
494,2017-04-17,20636.92
