,Date,Price
0,2019-04-04,73.4969
1,2019-04-03,73.2822
2,2019-04-02,73.1605
3,2019-04-01,73.0725
4,2019-03-29,73.6575
5,2019-03-28,72.8596
6,2019-03-27,72.8977
7,2019-03-26,72.588
8,2019-03-25,72.51
9,2019-03-22,73.0672
10,2019-03-21,72.625
11,2019-03-20,72.8628
12,2019-03-19,73.0733
13,2019-03-18,72.9833
14,2019-03-15,73.3994
15,2019-03-14,74.015
16,2019-03-13,74.1211
17,2019-03-12,74.0906
18,2019-03-11,74.1841
19,2019-03-07,74.1295
20,2019-03-06,74.5908
21,2019-03-05,74.3353
22,2019-03-04,74.5515
23,2019-03-01,74.8867
24,2019-02-28,75.0
25,2019-02-27,74.76
26,2019-02-26,74.8325
27,2019-02-25,74.4093
28,2019-02-22,74.0908
29,2019-02-21,74.369
30,2019-02-20,74.465
31,2019-02-19,74.5753
32,2019-02-18,74.9798
33,2019-02-15,74.9414
34,2019-02-14,75.223
35,2019-02-13,74.9302
36,2019-02-12,74.6595
37,2019-02-11,74.2248
38,2019-02-08,74.4793
39,2019-02-07,74.7883
40,2019-02-06,74.8475
41,2019-02-05,74.8847
42,2019-02-04,75.0052
43,2019-02-01,75.0792
44,2019-01-31,74.8898
45,2019-01-30,75.238
46,2019-01-29,75.495
47,2019-01-28,75.7138
48,2019-01-25,75.3228
49,2019-01-24,74.3983
50,2019-01-23,75.2204
51,2019-01-22,75.56
52,2019-01-21,75.4506
53,2019-01-18,75.2937
54,2019-01-17,75.5875
55,2019-01-16,75.6167
56,2019-01-15,76.4092
57,2019-01-14,76.908
58,2019-01-11,76.6993
59,2019-01-10,76.9401
60,2019-01-09,77.0995
61,2019-01-08,76.55
62,2019-01-04,77.239
63,2019-01-03,78.2417
64,2018-12-29,79.9948
65,2018-12-28,79.67
66,2018-12-27,79.54
67,2018-12-26,78.0101
68,2018-12-25,78.2567
69,2018-12-24,78.1899
70,2018-12-21,78.2502
71,2018-12-20,78.3169
72,2018-12-19,76.7653
73,2018-12-18,76.4244
74,2018-12-17,75.7665
75,2018-12-14,75.4698
76,2018-12-13,75.2363
77,2018-12-12,75.5275
78,2018-12-11,75.1404
79,2018-12-10,75.6789
80,2018-12-07,75.7425
81,2018-12-06,76.0997
82,2018-12-05,75.5186
83,2018-12-04,75.7897
84,2018-12-03,75.4693
85,2018-11-30,75.745
86,2018-11-29,75.4208
87,2018-11-28,76.1575
88,2018-11-27,75.7692
89,2018-11-26,75.9902
90,2018-11-23,75.0343
91,2018-11-22,74.85
92,2018-11-21,74.76
93,2018-11-20,75.2419
94,2018-11-19,75.0922
95,2018-11-16,75.35
96,2018-11-15,74.6825
97,2018-11-14,75.9477
98,2018-11-13,76.8585
99,2018-11-12,76.2252
100,2018-11-09,77.17
101,2018-11-08,75.975
102,2018-11-07,75.8776
103,2018-11-06,75.5
104,2018-11-02,75.4408
105,2018-11-01,74.9625
106,2018-10-31,74.585
107,2018-10-30,74.3873
108,2018-10-29,74.9465
109,2018-10-26,74.9188
110,2018-10-25,74.545
111,2018-10-24,74.8225
112,2018-10-23,75.15
113,2018-10-22,74.7875
114,2018-10-19,75.4442
115,2018-10-18,75.3725
116,2018-10-17,75.285
117,2018-10-16,75.615
118,2018-10-15,76.029
119,2018-10-12,76.426
120,2018-10-11,76.81
121,2018-10-10,77.0565
122,2018-10-09,76.1543
123,2018-10-08,76.5028
124,2018-10-05,76.7222
125,2018-10-04,77.1542
126,2018-10-03,75.671
127,2018-10-02,75.62
128,2018-10-01,75.2018
129,2018-09-28,76.0865
130,2018-09-27,76.376
131,2018-09-26,77.26
132,2018-09-25,77.555
133,2018-09-24,77.3675
134,2018-09-21,78.065
135,2018-09-20,78.0444
136,2018-09-19,77.995
137,2018-09-18,78.5999
138,2018-09-17,79.4967
139,2018-09-14,79.1411
140,2018-09-13,79.775
141,2018-09-12,80.262
142,2018-09-11,80.5843
143,2018-09-10,81.83
144,2018-09-07,80.8
145,2018-09-06,80.5013
146,2018-09-05,79.3885
147,2018-09-04,78.8808
148,2018-09-03,79.144
149,2018-08-31,78.3903
150,2018-08-30,79.6275
151,2018-08-29,79.5775
152,2018-08-28,79.3456
153,2018-08-27,78.8473
154,2018-08-24,78.0149
155,2018-08-23,78.675
156,2018-08-22,78.9
157,2018-08-21,77.85
158,2018-08-20,77.0619
159,2018-08-17,76.6575
160,2018-08-16,75.9753
161,2018-08-15,76.35
162,2018-08-14,75.2736
163,2018-08-13,77.375
164,2018-08-10,77.2276
165,2018-08-09,76.8125
166,2018-08-08,76.1249
167,2018-08-07,73.65
168,2018-08-06,73.6285
169,2018-08-03,73.284
170,2018-08-02,73.4129
171,2018-08-01,73.4948
172,2018-07-31,73.145
173,2018-07-30,72.8543
174,2018-07-27,73.1722
175,2018-07-26,73.29
176,2018-07-25,73.6915
177,2018-07-24,73.975
178,2018-07-23,73.72
179,2018-07-20,74.4
180,2018-07-19,74.1418
181,2018-07-18,73.3305
182,2018-07-17,72.9695
183,2018-07-16,72.9813
184,2018-07-13,73.0744
185,2018-07-12,72.65
186,2018-07-11,72.78
187,2018-07-10,72.5677
188,2018-07-09,73.4513
189,2018-07-06,73.9614
190,2018-07-05,73.7875
191,2018-07-04,73.6625
192,2018-07-03,73.6083
