,Date,Price
0,2019-04-04,1.1235
1,2019-04-03,1.1244
2,2019-04-02,1.1204
3,2019-04-01,1.1213
4,2019-03-29,1.1218
5,2019-03-28,1.1222
6,2019-03-27,1.1247
7,2019-03-26,1.1266
8,2019-03-25,1.1313
9,2019-03-22,1.1314
10,2019-03-21,1.1375
11,2019-03-20,1.1414
12,2019-03-19,1.1352
13,2019-03-18,1.1337
14,2019-03-15,1.1325
15,2019-03-14,1.1304
16,2019-03-13,1.1327
17,2019-03-12,1.1288
18,2019-03-11,1.1249
19,2019-03-08,1.124
20,2019-03-07,1.1194
21,2019-03-06,1.1307
22,2019-03-05,1.1308
23,2019-03-04,1.134
24,2019-03-01,1.1377
25,2019-02-28,1.1371
26,2019-02-27,1.1369
27,2019-02-26,1.1387
28,2019-02-25,1.1359
29,2019-02-22,1.1343
30,2019-02-21,1.1336
31,2019-02-20,1.1337
32,2019-02-19,1.1341
33,2019-02-18,1.1311
34,2019-02-15,1.1295
35,2019-02-14,1.1301
36,2019-02-13,1.1267
37,2019-02-12,1.1325
38,2019-02-11,1.1276
39,2019-02-08,1.133
40,2019-02-07,1.1341
41,2019-02-06,1.1362
42,2019-02-05,1.1415
43,2019-02-04,1.1438
44,2019-02-01,1.1456
45,2019-01-31,1.1446
46,2019-01-30,1.1479
47,2019-01-29,1.1432
48,2019-01-28,1.1434
49,2019-01-25,1.1415
50,2019-01-24,1.1306
51,2019-01-23,1.1381
52,2019-01-22,1.1359
53,2019-01-21,1.1366
54,2019-01-18,1.1363
55,2019-01-17,1.1398
56,2019-01-16,1.14
57,2019-01-15,1.1417
58,2019-01-14,1.1477
59,2019-01-11,1.1469
60,2019-01-10,1.15
61,2019-01-09,1.1543
62,2019-01-08,1.1442
63,2019-01-07,1.1476
64,2019-01-04,1.1395
65,2019-01-03,1.1394
66,2019-01-02,1.1343
67,2019-01-01,1.1464
68,2018-12-31,1.147
69,2018-12-28,1.1438
70,2018-12-27,1.143
71,2018-12-26,1.1353
72,2018-12-25,1.1362
73,2018-12-24,1.14
74,2018-12-21,1.1369
75,2018-12-20,1.1446
76,2018-12-19,1.1377
77,2018-12-18,1.1361
78,2018-12-17,1.1347
79,2018-12-14,1.1309
80,2018-12-13,1.1363
81,2018-12-12,1.1368
82,2018-12-11,1.1316
83,2018-12-10,1.1356
84,2018-12-07,1.1378
85,2018-12-06,1.1376
86,2018-12-05,1.1344
87,2018-12-04,1.1345
88,2018-12-03,1.1354
89,2018-11-30,1.1317
90,2018-11-29,1.1393
91,2018-11-28,1.1366
92,2018-11-27,1.1288
93,2018-11-26,1.1328
94,2018-11-23,1.1341
95,2018-11-22,1.1408
96,2018-11-21,1.1385
97,2018-11-20,1.1371
98,2018-11-19,1.1453
99,2018-11-16,1.142
100,2018-11-15,1.1328
101,2018-11-14,1.131
102,2018-11-13,1.1291
103,2018-11-12,1.1218
104,2018-11-09,1.1336
105,2018-11-08,1.1363
106,2018-11-07,1.1426
107,2018-11-06,1.1427
108,2018-11-05,1.1407
109,2018-11-02,1.1387
110,2018-11-01,1.1409
111,2018-10-31,1.1312
112,2018-10-30,1.1344
113,2018-10-29,1.1373
114,2018-10-26,1.1403
115,2018-10-25,1.1376
116,2018-10-24,1.1392
117,2018-10-23,1.1471
118,2018-10-22,1.1465
119,2018-10-19,1.1515
120,2018-10-18,1.1453
121,2018-10-17,1.1501
122,2018-10-16,1.1575
123,2018-10-15,1.1579
124,2018-10-12,1.1563
125,2018-10-11,1.1594
126,2018-10-10,1.152
127,2018-10-09,1.149
128,2018-10-08,1.1492
129,2018-10-05,1.1524
130,2018-10-04,1.1515
131,2018-10-03,1.1478
132,2018-10-02,1.1548
133,2018-10-01,1.1578
134,2018-09-28,1.1609
135,2018-09-27,1.1641
136,2018-09-26,1.174
137,2018-09-25,1.1772
138,2018-09-24,1.1748
139,2018-09-21,1.175
140,2018-09-20,1.1777
141,2018-09-19,1.1673
142,2018-09-18,1.1667
143,2018-09-17,1.1683
144,2018-09-14,1.163
145,2018-09-13,1.169
146,2018-09-12,1.1626
147,2018-09-11,1.1607
148,2018-09-10,1.1594
149,2018-09-07,1.1553
150,2018-09-06,1.1622
151,2018-09-05,1.1629
152,2018-09-04,1.1582
153,2018-09-03,1.1624
154,2018-08-31,1.1601
155,2018-08-30,1.1671
156,2018-08-29,1.1708
157,2018-08-28,1.1695
158,2018-08-27,1.1678
159,2018-08-24,1.1623
160,2018-08-23,1.1539
161,2018-08-22,1.1597
162,2018-08-21,1.1571
163,2018-08-20,1.1481
164,2018-08-17,1.1439
165,2018-08-16,1.1377
166,2018-08-15,1.1345
167,2018-08-14,1.1344
168,2018-08-13,1.1409
169,2018-08-10,1.1411
170,2018-08-09,1.1527
171,2018-08-08,1.1611
172,2018-08-07,1.1599
173,2018-08-06,1.1554
174,2018-08-03,1.1567
175,2018-08-02,1.1584
176,2018-08-01,1.166
177,2018-07-31,1.1691
178,2018-07-30,1.1706
179,2018-07-27,1.1658
180,2018-07-26,1.1643
181,2018-07-25,1.1728
182,2018-07-24,1.1686
183,2018-07-23,1.1692
184,2018-07-20,1.172
185,2018-07-19,1.1643
186,2018-07-18,1.1639
187,2018-07-17,1.1661
188,2018-07-16,1.171
189,2018-07-13,1.1685
190,2018-07-12,1.1672
191,2018-07-11,1.1674
192,2018-07-10,1.1744
193,2018-07-09,1.1751
194,2018-07-06,1.1747
195,2018-07-05,1.1691
196,2018-07-04,1.1656
197,2018-07-03,1.1657
198,2018-07-02,1.1641
199,2018-06-29,1.1685
200,2018-06-28,1.1569
201,2018-06-27,1.1554
202,2018-06-26,1.1647
203,2018-06-25,1.1704
204,2018-06-22,1.1657
205,2018-06-21,1.1603
206,2018-06-20,1.1572
207,2018-06-19,1.159
208,2018-06-18,1.1623
209,2018-06-15,1.1609
210,2018-06-14,1.1569
211,2018-06-13,1.1791
212,2018-06-12,1.1745
213,2018-06-11,1.1784
214,2018-06-08,1.1768
215,2018-06-07,1.1799
216,2018-06-06,1.1773
217,2018-06-05,1.1718
218,2018-06-04,1.1699
219,2018-06-01,1.1661
220,2018-05-31,1.1692
221,2018-05-30,1.1663
222,2018-05-29,1.154
223,2018-05-28,1.1623
224,2018-05-25,1.1652
225,2018-05-24,1.172
226,2018-05-23,1.1697
227,2018-05-22,1.1779
228,2018-05-21,1.1791
229,2018-05-18,1.1778
230,2018-05-17,1.1795
231,2018-05-16,1.1807
232,2018-05-15,1.1838
233,2018-05-14,1.1927
234,2018-05-11,1.1944
235,2018-05-10,1.1915
236,2018-05-09,1.185
237,2018-05-08,1.1864
238,2018-05-07,1.1922
239,2018-05-04,1.196
240,2018-05-03,1.1988
241,2018-05-02,1.1951
242,2018-05-01,1.1993
243,2018-04-30,1.2079
244,2018-04-27,1.213
245,2018-04-26,1.2103
246,2018-04-25,1.2161
247,2018-04-24,1.2232
248,2018-04-23,1.2209
249,2018-04-20,1.2288
250,2018-04-19,1.2346
251,2018-04-18,1.2373
252,2018-04-17,1.237
253,2018-04-16,1.238
254,2018-04-13,1.2331
255,2018-04-12,1.2327
256,2018-04-11,1.2367
257,2018-04-10,1.2356
258,2018-04-09,1.2321
259,2018-04-06,1.2283
260,2018-04-05,1.224
261,2018-04-04,1.2278
262,2018-04-03,1.227
263,2018-04-02,1.2302
264,2018-03-30,1.2323
265,2018-03-29,1.2302
266,2018-03-28,1.2308
267,2018-03-27,1.2403
268,2018-03-26,1.2443
269,2018-03-23,1.2353
270,2018-03-22,1.2302
271,2018-03-21,1.2338
272,2018-03-20,1.2242
273,2018-03-19,1.2335
274,2018-03-16,1.2289
275,2018-03-15,1.2305
276,2018-03-14,1.2367
277,2018-03-13,1.239
278,2018-03-12,1.2334
279,2018-03-09,1.2307
280,2018-03-08,1.2312
281,2018-03-07,1.2413
282,2018-03-06,1.2404
283,2018-03-05,1.2336
284,2018-03-02,1.2317
285,2018-03-01,1.2268
286,2018-02-28,1.2194
287,2018-02-27,1.2232
288,2018-02-26,1.2318
289,2018-02-23,1.2293
290,2018-02-22,1.2331
291,2018-02-21,1.2284
292,2018-02-20,1.2338
293,2018-02-19,1.2408
294,2018-02-16,1.2406
295,2018-02-15,1.2506
296,2018-02-14,1.245
297,2018-02-13,1.2352
298,2018-02-12,1.2292
299,2018-02-09,1.2235
300,2018-02-08,1.2247
301,2018-02-07,1.2264
302,2018-02-06,1.2377
303,2018-02-05,1.2368
304,2018-02-02,1.2462
305,2018-02-01,1.251
306,2018-01-31,1.2421
307,2018-01-30,1.2402
308,2018-01-29,1.2383
309,2018-01-26,1.2421
310,2018-01-25,1.2396
311,2018-01-24,1.2408
312,2018-01-23,1.2299
313,2018-01-22,1.2262
314,2018-01-19,1.2222
315,2018-01-18,1.2239
316,2018-01-17,1.2186
317,2018-01-16,1.2261
318,2018-01-15,1.2263
319,2018-01-12,1.2187
320,2018-01-11,1.2032
321,2018-01-10,1.1947
322,2018-01-09,1.1937
323,2018-01-08,1.1967
324,2018-01-05,1.203
325,2018-01-04,1.2068
326,2018-01-03,1.2014
327,2018-01-02,1.2059
328,2018-01-01,1.201
329,2017-12-29,1.1998
330,2017-12-28,1.1943
331,2017-12-27,1.1888
332,2017-12-26,1.1859
333,2017-12-25,1.1869
334,2017-12-22,1.1859
335,2017-12-21,1.1873
336,2017-12-20,1.1871
337,2017-12-19,1.184
338,2017-12-18,1.1782
339,2017-12-15,1.1754
340,2017-12-14,1.1778
341,2017-12-13,1.1826
342,2017-12-12,1.1742
343,2017-12-11,1.1768
344,2017-12-08,1.1764
345,2017-12-07,1.1773
346,2017-12-06,1.1796
347,2017-12-05,1.1826
348,2017-12-04,1.1866
349,2017-12-01,1.1891
350,2017-11-30,1.1904
351,2017-11-29,1.1847
352,2017-11-28,1.1841
353,2017-11-27,1.1898
354,2017-11-24,1.193
355,2017-11-23,1.1851
356,2017-11-22,1.1822
357,2017-11-21,1.1738
358,2017-11-20,1.1732
359,2017-11-17,1.1795
360,2017-11-16,1.177
361,2017-11-15,1.1792
362,2017-11-14,1.1798
363,2017-11-13,1.1667
364,2017-11-10,1.1665
365,2017-11-09,1.1642
366,2017-11-08,1.1595
367,2017-11-07,1.1586
368,2017-11-06,1.161
369,2017-11-03,1.1609
370,2017-11-02,1.1658
371,2017-11-01,1.1619
372,2017-10-31,1.1646
373,2017-10-30,1.1651
374,2017-10-27,1.161
375,2017-10-26,1.165
376,2017-10-25,1.1813
377,2017-10-24,1.1761
378,2017-10-23,1.1749
379,2017-10-20,1.1785
380,2017-10-19,1.1852
381,2017-10-18,1.1787
382,2017-10-17,1.1766
383,2017-10-16,1.1797
384,2017-10-13,1.1823
385,2017-10-12,1.183
386,2017-10-11,1.1859
387,2017-10-10,1.1806
388,2017-10-09,1.1741
389,2017-10-06,1.1734
390,2017-10-05,1.1711
391,2017-10-04,1.176
392,2017-10-03,1.1744
393,2017-10-02,1.1732
394,2017-09-29,1.1814
395,2017-09-28,1.1786
396,2017-09-27,1.1744
397,2017-09-26,1.1793
398,2017-09-25,1.1848
399,2017-09-22,1.1954
400,2017-09-21,1.1941
401,2017-09-20,1.1893
402,2017-09-19,1.1994
403,2017-09-18,1.1954
404,2017-09-15,1.1943
405,2017-09-14,1.1919
406,2017-09-13,1.1886
407,2017-09-12,1.1967
408,2017-09-11,1.1953
409,2017-09-08,1.2035
410,2017-09-07,1.2023
411,2017-09-06,1.1917
412,2017-09-05,1.1914
413,2017-09-04,1.1896
414,2017-09-01,1.1859
415,2017-08-31,1.191
416,2017-08-30,1.1883
417,2017-08-29,1.1972
418,2017-08-28,1.1979
419,2017-08-25,1.1926
420,2017-08-24,1.1799
421,2017-08-23,1.1807
422,2017-08-22,1.1762
423,2017-08-21,1.1816
424,2017-08-18,1.1762
425,2017-08-17,1.1724
426,2017-08-16,1.177
427,2017-08-15,1.1735
428,2017-08-14,1.178
429,2017-08-11,1.1821
430,2017-08-10,1.1772
431,2017-08-09,1.1759
432,2017-08-08,1.175
433,2017-08-07,1.1796
434,2017-08-04,1.1772
435,2017-08-03,1.187
436,2017-08-02,1.1856
437,2017-08-01,1.1802
438,2017-07-31,1.1842
439,2017-07-28,1.1752
440,2017-07-27,1.1677
441,2017-07-26,1.1734
442,2017-07-25,1.1652
443,2017-07-24,1.1642
444,2017-07-21,1.1663
445,2017-07-20,1.1631
446,2017-07-19,1.1516
447,2017-07-18,1.1555
448,2017-07-17,1.1479
449,2017-07-14,1.1469
450,2017-07-13,1.1399
451,2017-07-12,1.1412
452,2017-07-11,1.1467
453,2017-07-10,1.14
454,2017-07-07,1.1401
