,Date,3 mo
0,1990-01-02,7.83
1,1990-01-03,7.89
2,1990-01-04,7.84
3,1990-01-05,7.79
4,1990-01-08,7.79
5,1990-01-09,7.80
6,1990-01-10,7.75
7,1990-01-11,7.80
8,1990-01-12,7.74
9,1990-01-16,7.89
10,1990-01-17,7.97
11,1990-01-18,8.04
12,1990-01-19,8.00
13,1990-01-22,7.99
14,1990-01-23,7.93
15,1990-01-24,7.93
16,1990-01-25,7.95
17,1990-01-26,7.93
18,1990-01-29,8.00
19,1990-01-30,8.00
20,1990-01-31,8.00
21,1990-02-01,8.02
22,1990-02-02,8.07
23,1990-02-05,8.08
24,1990-02-06,8.09
25,1990-02-07,8.08
26,1990-02-08,8.08
27,1990-02-09,8.02
28,1990-02-12,7.99
29,1990-02-13,7.84
30,1990-02-14,7.87
31,1990-02-15,7.97
32,1990-02-16,7.94
33,1990-02-20,8.06
34,1990-02-21,8.01
35,1990-02-22,7.99
36,1990-02-23,7.93
37,1990-02-26,7.97
38,1990-02-27,7.99
39,1990-02-28,8.04
40,1990-03-01,8.08
41,1990-03-02,8.02
42,1990-03-05,8.09
43,1990-03-06,8.17
44,1990-03-07,8.18
45,1990-03-08,8.18
46,1990-03-09,8.26
47,1990-03-12,8.26
48,1990-03-13,8.26
49,1990-03-14,8.23
50,1990-03-15,8.21
51,1990-03-16,8.19
52,1990-03-19,8.22
53,1990-03-20,8.25
54,1990-03-21,8.23
55,1990-03-22,8.17
56,1990-03-23,8.15
57,1990-03-26,8.13
58,1990-03-27,8.17
59,1990-03-28,8.12
60,1990-03-29,8.10
61,1990-03-30,8.07
62,1990-04-02,8.05
63,1990-04-03,8.09
64,1990-04-04,8.01
65,1990-04-05,8.02
66,1990-04-06,8.02
67,1990-04-09,8.09
68,1990-04-10,8.05
69,1990-04-11,8.03
70,1990-04-12,8.02
71,1990-04-16,8.01
72,1990-04-17,8.03
73,1990-04-18,8.08
74,1990-04-19,8.06
75,1990-04-20,7.95
76,1990-04-23,8.00
77,1990-04-24,8.03
78,1990-04-25,8.06
79,1990-04-26,8.09
80,1990-04-27,8.05
81,1990-04-30,8.07
82,1990-05-01,8.19
83,1990-05-02,8.17
84,1990-05-03,8.15
85,1990-05-04,8.02
86,1990-05-07,8.09
87,1990-05-08,8.06
88,1990-05-09,8.01
89,1990-05-10,7.97
90,1990-05-11,7.88
91,1990-05-14,7.89
92,1990-05-15,7.91
93,1990-05-16,7.93
94,1990-05-17,7.93
95,1990-05-18,8.01
96,1990-05-21,8.02
97,1990-05-22,7.99
98,1990-05-23,7.91
99,1990-05-24,7.95
100,1990-05-25,8.01
101,1990-05-29,8.02
102,1990-05-30,8.03
103,1990-05-31,8.01
104,1990-06-01,7.94
105,1990-06-04,7.96
106,1990-06-05,7.96
107,1990-06-06,7.96
108,1990-06-07,7.96
109,1990-06-08,7.96
110,1990-06-11,7.99
111,1990-06-12,7.99
112,1990-06-13,7.93
113,1990-06-14,7.92
114,1990-06-15,7.95
115,1990-06-18,7.93
116,1990-06-19,8.00
117,1990-06-20,8.03
118,1990-06-21,8.03
119,1990-06-22,8.04
120,1990-06-25,8.05
121,1990-06-26,8.07
