,Date,Price
0,2019-04-04,1296.0
1,2019-04-03,1296.15
2,2019-04-02,1290.0
3,2019-04-01,1288.4
4,2019-03-29,1293.0
5,2019-03-28,1289.8
6,2019-03-27,1310.4
7,2019-03-26,1315.0
8,2019-03-25,1322.6
9,2019-03-22,1312.3
10,2019-03-21,1307.3
11,2019-03-20,1301.7
12,2019-03-19,1306.5
13,2019-03-18,1301.5
14,2019-03-15,1302.9
15,2019-03-14,1295.1
16,2019-03-13,1309.3
17,2019-03-12,1298.1
18,2019-03-11,1291.1
19,2019-03-08,1299.3
20,2019-03-07,1286.1
21,2019-03-06,1287.6
22,2019-03-05,1284.7
23,2019-03-04,1287.5
24,2019-03-01,1299.2
25,2019-02-28,1316.1
26,2019-02-27,1321.2
27,2019-02-26,1328.5
28,2019-02-25,1329.5
29,2019-02-22,1332.8
30,2019-02-21,1327.8
31,2019-02-20,1347.9
32,2019-02-19,1344.8
33,2019-02-18,1329.55
34,2019-02-17,1324.25
35,2019-02-15,1322.1
36,2019-02-14,1313.9
37,2019-02-13,1315.1
38,2019-02-12,1314.0
39,2019-02-11,1311.9
40,2019-02-08,1318.5
41,2019-02-07,1314.2
42,2019-02-06,1314.4
43,2019-02-05,1319.2
44,2019-02-04,1319.3
45,2019-02-01,1322.1
46,2019-01-31,1325.2
47,2019-01-30,1315.5
48,2019-01-29,1315.2
49,2019-01-28,1309.3
50,2019-01-25,1304.2
51,2019-01-24,1285.9
52,2019-01-23,1290.2
53,2019-01-22,1289.5
54,2019-01-21,1279.05
55,2019-01-20,1282.05
56,2019-01-18,1288.9
57,2019-01-17,1298.7
58,2019-01-16,1300.3
59,2019-01-15,1294.9
60,2019-01-14,1298.0
61,2019-01-11,1296.1
62,2019-01-10,1294.0
63,2019-01-09,1298.5
64,2019-01-08,1292.4
65,2019-01-07,1296.4
66,2019-01-04,1292.2
67,2019-01-03,1301.2
68,2019-01-02,1290.5
69,2019-01-01,1283.35
70,2018-12-31,1287.7
71,2018-12-28,1289.3
72,2018-12-27,1287.4
73,2018-12-26,1279.2
74,2018-12-25,1270.75
75,2018-12-24,1278.0
76,2018-12-21,1264.2
77,2018-12-20,1274.2
78,2018-12-19,1262.6
79,2018-12-18,1259.8
80,2018-12-17,1258.0
81,2018-12-14,1247.5
82,2018-12-13,1253.6
83,2018-12-12,1256.2
84,2018-12-11,1253.4
85,2018-12-10,1255.6
86,2018-12-07,1258.7
87,2018-12-06,1249.6
88,2018-12-05,1248.6
89,2018-12-04,1252.5
90,2018-12-03,1245.5
91,2018-11-30,1231.8
92,2018-11-29,1236.3
93,2018-11-28,1235.7
94,2018-11-27,1225.7
95,2018-11-26,1234.6
96,2018-11-23,1235.0
97,2018-11-22,1228.0
98,2018-11-21,1239.7
99,2018-11-20,1232.9
100,2018-11-19,1237.1
101,2018-11-16,1234.9
102,2018-11-15,1227.2
103,2018-11-14,1222.0
104,2018-11-13,1213.4
105,2018-11-12,1215.4
106,2018-11-09,1220.8
107,2018-11-08,1237.4
108,2018-11-07,1240.9
109,2018-11-06,1238.5
110,2018-11-05,1244.6
111,2018-11-02,1245.4
112,2018-11-01,1250.7
113,2018-10-31,1226.8
114,2018-10-30,1237.4
115,2018-10-29,1239.7
116,2018-10-26,1248.0
117,2018-10-25,1244.6
118,2018-10-24,1243.2
119,2018-10-23,1249.0
120,2018-10-22,1236.6
121,2018-10-19,1240.7
122,2018-10-18,1242.0
123,2018-10-17,1239.2
124,2018-10-16,1242.8
125,2018-10-15,1242.2
126,2018-10-12,1233.8
127,2018-10-11,1239.7
128,2018-10-10,1205.2
129,2018-10-09,1203.3
130,2018-10-08,1200.4
131,2018-10-05,1217.4
132,2018-10-04,1213.1
133,2018-10-03,1214.3
134,2018-10-02,1218.4
135,2018-10-01,1203.0
136,2018-09-28,1207.4
137,2018-09-27,1198.5
138,2018-09-26,1210.3
139,2018-09-25,1216.5
140,2018-09-24,1215.7
141,2018-09-21,1212.6
142,2018-09-20,1222.7
143,2018-09-19,1219.7
144,2018-09-18,1214.2
145,2018-09-17,1217.1
146,2018-09-14,1212.4
147,2018-09-13,1219.6
148,2018-09-12,1222.3
149,2018-09-11,1213.5
150,2018-09-10,1211.1
151,2018-09-07,1211.7
152,2018-09-06,1215.6
153,2018-09-05,1212.4
154,2018-09-04,1210.1
155,2018-09-03,1206.3
156,2018-09-02,1204.9
157,2018-08-31,1217.7
158,2018-08-30,1215.9
159,2018-08-29,1222.6
160,2018-08-28,1225.6
161,2018-08-27,1227.2
162,2018-08-24,1224.4
163,2018-08-23,1204.9
164,2018-08-22,1214.3
165,2018-08-21,1211.0
166,2018-08-20,1205.6
167,2018-08-17,1195.2
