,<DATE>,<CLOSE>
0,2019-01-04,2406.5
1,2019-01-08,2389.69
2,2019-01-09,2414.13
3,2019-01-10,2434.15
4,2019-01-11,2444.45
5,2019-01-14,2440.15
6,2019-01-15,2439.55
7,2019-01-16,2434.6
8,2019-01-17,2447.64
9,2019-01-18,2473.61
10,2019-01-21,2468.25
11,2019-01-22,2468.73
12,2019-01-23,2491.49
13,2019-01-24,2482.71
14,2019-01-25,2498.23
15,2019-01-28,2476.81
16,2019-01-29,2498.35
17,2019-01-30,2511.86
18,2019-01-31,2521.1
19,2019-02-01,2521.7
20,2019-02-04,2523.52
21,2019-02-05,2547.27
22,2019-02-06,2539.73
23,2019-02-07,2509.89
24,2019-02-08,2502.82
25,2019-02-11,2510.22
26,2019-02-12,2533.32
27,2019-02-13,2485.76
28,2019-02-14,2460.82
29,2019-02-15,2490.16
30,2019-02-18,2472.41
31,2019-02-19,2458.55
32,2019-02-20,2487.82
33,2019-02-21,2470.23
34,2019-02-22,2488.63
35,2019-02-25,2494.63
36,2019-02-26,2494.02
37,2019-02-27,2490.65
38,2019-02-28,2485.27
39,2019-03-01,2478.01
40,2019-03-04,2473.79
41,2019-03-05,2466.23
42,2019-03-06,2494.04
43,2019-03-07,2476.64
44,2019-03-11,2465.94
45,2019-03-12,2468.25
46,2019-03-13,2470.61
47,2019-03-14,2457.79
48,2019-03-15,2476.73
49,2019-03-18,2483.7
50,2019-03-19,2493.28
51,2019-03-20,2504.23
52,2019-03-21,2507.81
53,2019-03-22,2492.7
54,2019-03-25,2497.59
55,2019-03-26,2512.63
56,2019-03-27,2487.48
57,2019-03-28,2492.4
58,2019-03-29,2497.1
59,2019-04-01,2521.25
60,2019-04-02,2527.77
61,2019-04-03,2532.32
62,2019-04-04,2526.41
