,datetime,m0,m2
0,1995-07-01,94.73,156.6
1,1995-08-01,95.91,165.0
2,1995-09-01,101.42,173.8
3,1995-10-01,103.42,179.7
4,1995-11-01,106.35,184.1
5,1995-12-01,111.035,195.1
6,1996-01-01,119.72789119999999,220.8
7,1996-02-01,116.86,216.7
8,1996-03-01,121.44000000000001,229.2
9,1996-04-01,129.81,241.7
10,1996-05-01,135.07500000000002,251.0
11,1996-06-01,132.845,254.2
12,1996-07-01,146.29999999999998,266.9
13,1996-08-01,150.12,271.8
14,1996-09-01,145.49999999999997,275.3
15,1996-10-01,144.65,276.1
16,1996-11-01,141.99,278.8
17,1996-12-01,143.6,282.4
18,1997-01-01,152.23659329999998,288.3
19,1997-02-01,143.838,289.9
20,1997-03-01,150.81900000000002,299.5
21,1997-04-01,158.416,305.8
22,1997-05-01,166.76999999999998,317.8
23,1997-06-01,172.89,328.4
24,1997-07-01,192.3,352.0
25,1997-08-01,194.51,363.0
26,1997-09-01,198.70999999999998,364.6
27,1997-10-01,196.06,363.0
28,1997-11-01,198.51999999999998,368.8
29,1997-12-01,196.13000000000002,357.4
30,1998-01-01,204.91313570000003,374.1
31,1998-02-01,183.1401,364.9
32,1998-03-01,180.80939999999998,366.9
33,1998-04-01,185.18739999999997,364.7
34,1998-05-01,187.81799999999998,372.6
35,1998-06-01,190.3306,375.7
36,1998-07-01,190.05880000000002,374.5
37,1998-08-01,191.1016,365.6
38,1998-09-01,183.5308,350.5
39,1998-10-01,205.3231,374.1
40,1998-11-01,224.1018,386.9
41,1998-12-01,234.0889,407.4
42,1999-01-01,258.236528,453.7
43,1999-02-01,255.14430000000002,450.6
44,1999-03-01,263.90979999999996,471.3
45,1999-04-01,281.3524,482.2
46,1999-05-01,302.6339,518.8
47,1999-06-01,340.77630000000005,553.7
48,1999-07-01,349.11699999999996,581.5
49,1999-08-01,352.9356,596.0
50,1999-09-01,357.0098,605.7
51,1999-10-01,348.833,611.9
52,1999-11-01,368.7016,639.4
53,1999-12-01,379.41540000000003,663.5
54,2000-01-01,425.8086575738,714.6
55,2000-02-01,414.73339999999996,709.6
56,2000-03-01,435.743,742.0
57,2000-04-01,476.76680000000005,768.4
58,2000-05-01,497.93730000000005,802.5
59,2000-06-01,543.6739,850.1
60,2000-07-01,588.6181,905.8
61,2000-08-01,639.6444,950.5
62,2000-09-01,631.1705,977.6
63,2000-10-01,653.8602000000001,1008.8
64,2000-11-01,644.3290999999999,1016.4
65,2000-12-01,665.1714999999999,1054.6
66,2001-01-01,721.604964,1150.6
67,2001-02-01,666.0510039999999,1090.1
68,2001-03-01,663.6261089999999,1118.5
69,2001-04-01,684.655429,1159.7
70,2001-05-01,699.586764,1220.5
71,2001-06-01,721.4784779999999,1242.6
72,2001-07-01,755.4107419999998,1301.3
73,2001-08-01,765.940195,1337.4
74,2001-09-01,789.240413,1374.5
75,2001-10-01,817.815877,1421.6
76,2001-11-01,842.186823,1449.8
77,2001-12-01,817.550767,1448.2
78,2002-01-01,928.319784,1609.4
79,2002-02-01,840.1019489999999,1511.2
80,2002-03-01,846.10043038101,1532.8
81,2002-04-01,863.5152856810101,1574.1
82,2002-05-01,917.7356970000001,1630.7
83,2002-06-01,977.6595,1700.2
84,2002-07-01,1020.683268,1764.1
85,2002-08-01,1019.773281,1790.2
86,2002-09-01,1065.626898,1824.3
87,2002-10-01,1067.8526379999998,1857.4
88,2002-11-01,1078.577651,1900.0
89,2002-12-01,1128.872941,1943.9
90,2003-01-01,1232.6,2130.5
91,2003-02-01,1140.1,2033.3
92,2003-03-01,1240.7,2114.0
93,2003-04-01,1284.5,2218.4
94,2003-05-01,1386.8,2326.1
95,2003-06-01,1505.7,2447.2
96,2003-07-01,1534.0,2619.3
97,2003-08-01,1510.8,2638.3
98,2003-09-01,1500.8,2695.3
99,2003-10-01,1484.5,2744.0
