,Date,Price
0,2019-01-23,4523.56
1,2019-01-22,4482.8
2,2019-01-21,4491.23
3,2019-01-18,4482.97
4,2019-01-17,4419.48
5,2019-01-16,4391.36
6,2019-01-15,4387.01
7,2019-01-14,4369.28
8,2019-01-11,4374.97
9,2019-01-10,4340.59
10,2019-01-09,4298.43
11,2019-01-08,4247.23
12,2019-01-04,4260.96
13,2019-01-03,4206.96
14,2018-12-29,4186.93
15,2018-12-28,4157.53
16,2018-12-27,4128.17
17,2018-12-26,4116.93
18,2018-12-25,4084.5
19,2018-12-24,4142.32
20,2018-12-21,4196.58
21,2018-12-20,4205.34
22,2018-12-19,4226.99
23,2018-12-18,4218.68
24,2018-12-17,4228.28
25,2018-12-14,4235.59
26,2018-12-13,4261.12
27,2018-12-12,4249.92
28,2018-12-11,4278.92
29,2018-12-10,4293.99
30,2018-12-07,4358.86
31,2018-12-06,4311.59
32,2018-12-05,4361.96
33,2018-12-04,4350.98
34,2018-12-03,4363.63
35,2018-11-30,4267.61
36,2018-11-29,4309.58
37,2018-11-28,4272.38
38,2018-11-27,4216.28
39,2018-11-26,4149.71
40,2018-11-23,4210.07
41,2018-11-22,4248.91
42,2018-11-21,4223.49
43,2018-11-20,4197.77
44,2018-11-19,4264.28
45,2018-11-16,4270.36
46,2018-11-15,4299.86
47,2018-11-14,4289.04
48,2018-11-13,4290.27
49,2018-11-12,4329.63
50,2018-11-09,4324.53
51,2018-11-08,4395.59
52,2018-11-07,4407.7
53,2018-11-06,4334.13
54,2018-11-02,4254.51
55,2018-11-01,4220.79
56,2018-10-31,4211.7
57,2018-10-30,4132.32
58,2018-10-29,4123.74
59,2018-10-26,4077.08
60,2018-10-25,4172.1
61,2018-10-24,4195.83
62,2018-10-23,4134.33
63,2018-10-22,4148.19
64,2018-10-19,4219.97
65,2018-10-18,4256.45
66,2018-10-17,4306.96
67,2018-10-16,4308.56
68,2018-10-15,4273.89
69,2018-10-12,4280.0
70,2018-10-11,4245.29
71,2018-10-10,4315.76
72,2018-10-09,4379.71
73,2018-10-08,4414.32
74,2018-10-05,4428.31
75,2018-10-04,4430.22
76,2018-10-03,4492.73
77,2018-10-02,4434.51
78,2018-10-01,4471.99
79,2018-09-28,4480.19
80,2018-09-27,4495.92
81,2018-09-26,4448.35
82,2018-09-25,4474.44
83,2018-09-24,4468.4
84,2018-09-21,4419.97
85,2018-09-20,4400.61
86,2018-09-19,4403.04
87,2018-09-18,4387.5
88,2018-09-17,4350.6
89,2018-09-14,4327.44
90,2018-09-13,4308.23
91,2018-09-12,4265.07
92,2018-09-11,4216.43
93,2018-09-10,4223.49
94,2018-09-07,4222.23
95,2018-09-06,4211.3
96,2018-09-05,4239.55
97,2018-09-04,4253.62
98,2018-09-03,4278.8
99,2018-08-31,4269.51
100,2018-08-30,4243.01
101,2018-08-29,4291.89
102,2018-08-28,4258.66
103,2018-08-27,4252.77
104,2018-08-24,4204.99
105,2018-08-23,4181.08
106,2018-08-22,4257.94
107,2018-08-21,4278.94
108,2018-08-20,4242.83
109,2018-08-17,4221.24
110,2018-08-16,4228.53
111,2018-08-15,4223.44
112,2018-08-14,4258.1
113,2018-08-13,4264.1
114,2018-08-10,4239.08
115,2018-08-09,4338.09
116,2018-08-08,4314.92
117,2018-08-07,4366.6
118,2018-08-06,4339.43
119,2018-08-03,4323.71
120,2018-08-02,4332.47
121,2018-08-01,4374.88
122,2018-07-31,4393.58
123,2018-07-30,4343.07
124,2018-07-27,4333.9
125,2018-07-26,4329.53
126,2018-07-25,4316.71
127,2018-07-24,4339.99
128,2018-07-23,4313.21
129,2018-07-20,4290.7
130,2018-07-19,4314.42
131,2018-07-18,4383.85
132,2018-07-17,4445.58
133,2018-07-16,4486.48
134,2018-07-13,4525.61
135,2018-07-12,4493.69
136,2018-07-11,4537.07
137,2018-07-10,4593.92
138,2018-07-09,4608.56
139,2018-07-06,4562.42
140,2018-07-05,4541.39
141,2018-07-04,4484.13
142,2018-07-03,4480.06
143,2018-07-02,4503.03
144,2018-06-29,4467.21
145,2018-06-28,4418.98
146,2018-06-27,4413.83
147,2018-06-26,4370.72
148,2018-06-25,4383.25
149,2018-06-22,4422.43
150,2018-06-21,4393.26
151,2018-06-20,4386.08
152,2018-06-19,4327.16
153,2018-06-18,4323.82
154,2018-06-15,4312.99
155,2018-06-14,4347.56
156,2018-06-13,4372.11
157,2018-06-11,4388.36
158,2018-06-09,4403.79
159,2018-06-08,4390.01
160,2018-06-07,4471.7
161,2018-06-06,4446.42
162,2018-06-05,4461.33
163,2018-06-04,4479.42
164,2018-06-01,4459.49
165,2018-05-31,4453.5
166,2018-05-30,4481.59
167,2018-05-29,4449.19
168,2018-05-28,4491.98
169,2018-05-25,4485.72
170,2018-05-24,4481.14
171,2018-05-23,4473.12
172,2018-05-22,4522.26
173,2018-05-21,4532.03
174,2018-05-18,4516.66
175,2018-05-17,4528.46
176,2018-05-16,4549.67
177,2018-05-15,4530.13
178,2018-05-14,4554.37
179,2018-05-11,4556.53
180,2018-05-10,4522.28
181,2018-05-08,4491.01
182,2018-05-07,4514.95
183,2018-05-04,4502.44
184,2018-05-03,4495.66
185,2018-05-02,4533.01
186,2018-04-30,4519.99
187,2018-04-28,4495.39
188,2018-04-27,4491.02
189,2018-04-26,4459.92
190,2018-04-25,4402.78
191,2018-04-24,4396.09
192,2018-04-23,4390.17
193,2018-04-20,4368.97
194,2018-04-19,4369.49
195,2018-04-18,4385.46
196,2018-04-17,4288.29
197,2018-04-16,4206.85
198,2018-04-13,4248.09
199,2018-04-12,4290.73
200,2018-04-11,4211.87
201,2018-04-10,4179.74
202,2018-04-09,4088.61
203,2018-04-06,4448.18
204,2018-04-05,4460.58
205,2018-04-04,4411.11
206,2018-04-03,4404.91
207,2018-04-02,4401.88
208,2018-03-30,4419.28
209,2018-03-29,4413.43
210,2018-03-28,4380.68
211,2018-03-27,4414.64
212,2018-03-26,4391.89
213,2018-03-23,4464.43
214,2018-03-22,4465.51
215,2018-03-21,4520.18
216,2018-03-20,4488.01
217,2018-03-19,4484.53
218,2018-03-16,4507.62
219,2018-03-15,4463.49
220,2018-03-14,4452.27
221,2018-03-13,4539.83
222,2018-03-12,4526.86
223,2018-03-09,4516.75
224,2018-03-07,4463.2
225,2018-03-06,4462.81
226,2018-03-05,4468.46
227,2018-03-02,4436.88
228,2018-03-01,4452.45
229,2018-02-28,4426.37
230,2018-02-27,4491.29
231,2018-02-26,4520.57
232,2018-02-22,4465.65
233,2018-02-21,4386.14
234,2018-02-20,4288.04
235,2018-02-19,4265.67
236,2018-02-16,4262.2
237,2018-02-15,4322.83
238,2018-02-14,4319.62
239,2018-02-13,4313.24
240,2018-02-12,4276.16
241,2018-02-09,4254.42
242,2018-02-08,4288.67
243,2018-02-07,4310.01
244,2018-02-06,4293.11
245,2018-02-05,4371.24
246,2018-02-02,4358.83
247,2018-02-01,4403.95
248,2018-01-31,4381.43
249,2018-01-30,4379.73
250,2018-01-29,4382.42
251,2018-01-26,4388.55
252,2018-01-25,4481.79
253,2018-01-24,4460.1
254,2018-01-23,4441.48
255,2018-01-22,4453.93
256,2018-01-19,4427.11
257,2018-01-18,4448.57
258,2018-01-17,4419.44
259,2018-01-16,4384.33
260,2018-01-15,4432.39
261,2018-01-12,4437.29
262,2018-01-11,4429.6
263,2018-01-10,4412.31
264,2018-01-09,4382.08
265,2018-01-05,4338.3
266,2018-01-04,4320.75
267,2018-01-03,4216.86
268,2017-12-29,4122.45
269,2017-12-28,4105.5
270,2017-12-27,4115.41
271,2017-12-26,4116.39
272,2017-12-25,4128.71
273,2017-12-22,4120.97
274,2017-12-21,4092.38
275,2017-12-20,4148.98
276,2017-12-19,4180.72
277,2017-12-18,4211.69
278,2017-12-15,4231.75
279,2017-12-14,4257.39
280,2017-12-13,4196.95
281,2017-12-12,4269.69
282,2017-12-11,4236.83
283,2017-12-08,4174.12
284,2017-12-07,4169.1
285,2017-12-06,4196.87
286,2017-12-05,4190.46
287,2017-12-04,4212.83
288,2017-12-01,4209.64
289,2017-11-30,4185.24
290,2017-11-29,4271.85
291,2017-11-28,4305.86
292,2017-11-27,4311.63
293,2017-11-24,4346.68
294,2017-11-23,4328.19
295,2017-11-22,4344.77
296,2017-11-21,4346.93
297,2017-11-20,4299.24
298,2017-11-17,4296.69
299,2017-11-16,4306.67
300,2017-11-15,4304.43
301,2017-11-14,4389.06
302,2017-11-13,4441.34
303,2017-11-10,4453.27
304,2017-11-09,4492.24
305,2017-11-08,4459.11
306,2017-11-07,4420.91
307,2017-11-03,4326.42
308,2017-11-02,4306.06
309,2017-11-01,4318.3
310,2017-10-31,4320.48
311,2017-10-30,4338.0
312,2017-10-27,4336.21
313,2017-10-26,4308.7
314,2017-10-25,4319.29
315,2017-10-24,4348.76
316,2017-10-23,4353.17
317,2017-10-20,4373.23
318,2017-10-19,4388.34
319,2017-10-18,4431.18
320,2017-10-17,4424.85
321,2017-10-16,4455.9
322,2017-10-13,4434.36
323,2017-10-12,4417.02
324,2017-10-11,4433.79
325,2017-10-10,4415.0
326,2017-10-09,4442.86
327,2017-10-06,4435.95
328,2017-10-05,4418.03
329,2017-10-04,4420.5
330,2017-10-03,4420.54
331,2017-10-02,4408.93
332,2017-09-29,4409.07
333,2017-09-28,4400.04
334,2017-09-27,4430.94
335,2017-09-26,4416.46
336,2017-09-25,4409.03
337,2017-09-22,4360.44
338,2017-09-21,4381.58
339,2017-09-20,4382.82
340,2017-09-19,4377.8
341,2017-09-18,4407.11
342,2017-09-15,4394.65
343,2017-09-14,4400.57
344,2017-09-13,4400.03
345,2017-09-12,4396.83
346,2017-09-11,4370.21
347,2017-09-08,4345.43
348,2017-09-07,4315.54
349,2017-09-06,4328.02
350,2017-09-05,4310.32
351,2017-09-04,4309.48
352,2017-09-01,4326.78
353,2017-08-31,4341.12
354,2017-08-30,4308.31
355,2017-08-29,4262.97
356,2017-08-28,4254.93
357,2017-08-25,4236.76
358,2017-08-24,4222.03
359,2017-08-23,4208.13
360,2017-08-22,4183.08
361,2017-08-21,4180.37
362,2017-08-18,4181.81
363,2017-08-17,4216.64
364,2017-08-16,4225.06
365,2017-08-15,4255.84
366,2017-08-14,4264.33
367,2017-08-11,4241.79
368,2017-08-10,4290.59
369,2017-08-09,4336.24
370,2017-08-08,4347.77
371,2017-08-07,4309.04
372,2017-08-04,4277.28
373,2017-08-03,4286.24
374,2017-08-02,4292.29
375,2017-08-01,4237.71
376,2017-07-31,4196.57
377,2017-07-28,4161.86
378,2017-07-27,4213.31
379,2017-07-26,4192.17
380,2017-07-25,4174.21
381,2017-07-24,4189.13
382,2017-07-21,4182.75
383,2017-07-20,4226.15
384,2017-07-19,4269.55
385,2017-07-18,4268.39
386,2017-07-17,4306.77
387,2017-07-14,4305.58
388,2017-07-13,4316.08
389,2017-07-12,4321.85
390,2017-07-11,4283.5
391,2017-07-10,4251.44
392,2017-07-07,4204.92
393,2017-07-06,4211.75
394,2017-07-05,4202.26
395,2017-07-04,4180.86
396,2017-07-03,4153.3
397,2017-06-30,4099.36
398,2017-06-29,4106.0
399,2017-06-28,4132.62
400,2017-06-27,4100.26
401,2017-06-26,4045.43
402,2017-06-23,4061.75
403,2017-06-22,4030.5
404,2017-06-21,4005.48
405,2017-06-20,4023.53
406,2017-06-19,4020.29
407,2017-06-16,3974.07
408,2017-06-15,3949.83
409,2017-06-14,4005.81
410,2017-06-13,4065.83
411,2017-06-09,4069.52
412,2017-06-08,4030.35
413,2017-06-07,4049.03
414,2017-06-06,4048.09
415,2017-06-05,4051.21
416,2017-06-02,4051.53
417,2017-06-01,4025.64
418,2017-05-31,4038.17
419,2017-05-30,4135.26
420,2017-05-29,4146.2
421,2017-05-26,4143.28
422,2017-05-25,4163.87
423,2017-05-24,4205.89
424,2017-05-23,4214.5
425,2017-05-22,4167.31
426,2017-05-19,4203.28
427,2017-05-18,4253.92
428,2017-05-17,4313.14
429,2017-05-16,4299.63
430,2017-05-15,4334.55
431,2017-05-12,4349.29
432,2017-05-11,4376.13
433,2017-05-10,4416.27
434,2017-05-05,4366.77
435,2017-05-04,4357.27
436,2017-05-03,4374.92
437,2017-05-02,4436.17
438,2017-04-28,4428.91
439,2017-04-27,4386.88
440,2017-04-26,4431.3
441,2017-04-25,4403.62
442,2017-04-24,4353.1
443,2017-04-21,4247.02
444,2017-04-20,4224.74
445,2017-04-19,4193.92
446,2017-04-18,4185.37
447,2017-04-17,4252.54
448,2017-04-14,4170.56
449,2017-04-13,4224.48
450,2017-04-12,4228.52
451,2017-04-11,4292.08
452,2017-04-10,4269.17
453,2017-04-07,4384.17
454,2017-04-06,4489.03
455,2017-04-05,4494.47
456,2017-04-04,4440.32
457,2017-04-03,4413.33
458,2017-03-31,4365.59
459,2017-03-30,4436.34
460,2017-03-29,4438.43
461,2017-03-28,4411.77
462,2017-03-27,4359.16
463,2017-03-24,4422.11
464,2017-03-23,4422.63
465,2017-03-22,4427.7
466,2017-03-21,4418.12
467,2017-03-20,4433.96
468,2017-03-17,4420.32
469,2017-03-16,4341.27
470,2017-03-15,4298.38
471,2017-03-14,4316.74
472,2017-03-13,4326.78
473,2017-03-10,4276.54
474,2017-03-09,4278.37
475,2017-03-07,4389.94
476,2017-03-06,4449.92
477,2017-03-03,4492.98
478,2017-03-02,4505.3
479,2017-03-01,4544.01
480,2017-02-28,4451.9
481,2017-02-27,4506.09
482,2017-02-24,4612.29
483,2017-02-22,4665.85
484,2017-02-21,4705.7
485,2017-02-20,4698.04
486,2017-02-17,4747.76
487,2017-02-16,4779.07
488,2017-02-15,4725.96
489,2017-02-14,4712.95
490,2017-02-13,4780.07
491,2017-02-10,4834.7
492,2017-02-09,4875.15
493,2017-02-08,4913.61
494,2017-02-07,4970.35
495,2017-02-06,4961.98
496,2017-02-03,4983.89
497,2017-02-02,4963.76
498,2017-02-01,4973.59
499,2017-01-31,4972.47
500,2017-01-30,4994.48
501,2017-01-27,5043.62
502,2017-01-26,4969.35
503,2017-01-25,4860.54
504,2017-01-24,4867.73
505,2017-01-23,4818.72
506,2017-01-20,4828.09
507,2017-01-19,4829.71
508,2017-01-18,4843.64
509,2017-01-17,4854.9
510,2017-01-16,4900.73
511,2017-01-13,4909.97
512,2017-01-12,4945.72
513,2017-01-11,4982.16
514,2017-01-10,4960.69
515,2017-01-09,4880.69
516,2017-01-06,4885.28
517,2017-01-05,4909.64
518,2017-01-04,5006.54
519,2017-01-03,5072.44
520,2016-12-30,4918.92
521,2016-12-29,4880.99
522,2016-12-28,4826.89
523,2016-12-27,4818.14
524,2016-12-26,4796.73
525,2016-12-23,4780.58
526,2016-12-22,4799.08
527,2016-12-21,4877.11
528,2016-12-20,4907.73
529,2016-12-19,4896.43
530,2016-12-16,4937.49
531,2016-12-15,4942.68
532,2016-12-14,4932.84
533,2016-12-13,4968.83
534,2016-12-12,4904.95
535,2016-12-09,4843.74
536,2016-12-08,4836.73
537,2016-12-07,4722.7
538,2016-12-06,4731.61
539,2016-12-05,4751.12
540,2016-12-02,4680.84
541,2016-12-01,4670.63
542,2016-11-30,4662.46
543,2016-11-29,4570.72
544,2016-11-28,4594.27
545,2016-11-25,4601.14
546,2016-11-24,4623.82
547,2016-11-23,4602.45
548,2016-11-22,4569.96
549,2016-11-21,4531.59
550,2016-11-18,4503.04
551,2016-11-17,4495.06
552,2016-11-16,4478.92
553,2016-11-15,4491.53
554,2016-11-14,4490.59
555,2016-11-11,4507.93
556,2016-11-10,4508.27
557,2016-11-09,4431.59
558,2016-11-08,4361.89
559,2016-11-07,4322.4
560,2016-11-03,4370.26
561,2016-11-02,4406.0
562,2016-11-01,4458.33
563,2016-10-31,4465.6
564,2016-10-28,4462.09
565,2016-10-27,4456.54
566,2016-10-26,4456.64
567,2016-10-25,4474.85
568,2016-10-24,4431.33
569,2016-10-21,4436.1
570,2016-10-20,4438.05
571,2016-10-19,4467.0
572,2016-10-18,4475.88
573,2016-10-17,4461.68
574,2016-10-14,4470.23
575,2016-10-13,4491.53
576,2016-10-12,4528.29
577,2016-10-11,4552.12
578,2016-10-10,4562.44
579,2016-10-07,4508.95
580,2016-10-06,4511.13
581,2016-10-05,4466.93
582,2016-10-04,4500.47
583,2016-10-03,4505.32
584,2016-09-30,4477.77
585,2016-09-29,4539.69
586,2016-09-28,4505.8
587,2016-09-27,4499.11
588,2016-09-26,4554.12
589,2016-09-23,4585.42
590,2016-09-22,4624.33
591,2016-09-21,4546.79
592,2016-09-20,4534.63
593,2016-09-19,4510.47
594,2016-09-16,4468.82
595,2016-09-15,4520.45
596,2016-09-14,4535.36
597,2016-09-13,4542.95
598,2016-09-12,4583.41
599,2016-09-09,4608.48
600,2016-09-08,4644.45
601,2016-09-07,4656.97
602,2016-09-06,4617.84
603,2016-09-05,4575.06
604,2016-09-02,4531.29
605,2016-09-01,4458.69
606,2016-08-31,4441.46
607,2016-08-30,4475.89
608,2016-08-29,4479.29
609,2016-08-26,4480.72
610,2016-08-25,4459.69
611,2016-08-24,4443.45
612,2016-08-23,4472.54
613,2016-08-22,4451.36
614,2016-08-19,4413.26
615,2016-08-18,4433.63
616,2016-08-17,4423.29
617,2016-08-16,4428.5
618,2016-08-15,4455.86
619,2016-08-12,4414.93
620,2016-08-11,4384.96
621,2016-08-10,4360.75
622,2016-08-09,4384.96
623,2016-08-08,4383.04
624,2016-08-05,4343.92
625,2016-08-04,4333.54
626,2016-08-03,4272.98
627,2016-08-02,4245.17
628,2016-08-01,4315.93
629,2016-07-29,4320.17
630,2016-07-28,4338.56
631,2016-07-27,4303.48
632,2016-07-26,4335.19
633,2016-07-25,4315.32
634,2016-07-22,4310.62
635,2016-07-21,4302.09
636,2016-07-20,4277.33
637,2016-07-19,4266.7
638,2016-07-18,4320.79
639,2016-07-15,4346.4
640,2016-07-14,4410.63
641,2016-07-13,4379.77
