,Date,Price
1,2016-12-30,10.54
2,2016-12-29,10.32
3,2016-12-28,10.24
4,2016-12-27,10.26
5,2016-12-26,10.46
6,2016-12-23,10.28
7,2016-12-22,10.22
8,2016-12-21,10.31
9,2016-12-20,10.29
10,2016-12-19,10.38
11,2016-12-16,10.16
12,2016-12-15,10.37
13,2016-12-14,10.22
14,2016-12-13,10.21
15,2016-12-12,10.21
16,2016-12-09,10.2
17,2016-12-08,10.3
18,2016-12-07,10.37
19,2016-12-06,10.41
20,2016-12-05,10.29
21,2016-12-02,10.3
22,2016-12-01,10.39
23,2016-11-30,10.43
24,2016-11-29,10.35
25,2016-11-28,10.32
26,2016-11-25,10.42
27,2016-11-24,10.33
28,2016-11-23,10.29
29,2016-11-22,10.28
30,2016-11-21,10.32
31,2016-11-18,10.29
32,2016-11-17,10.31
33,2016-11-16,10.31
34,2016-11-15,10.33
35,2016-11-14,10.29
36,2016-11-11,10.24
37,2016-11-10,10.25
38,2016-11-09,10.04
39,2016-11-08,9.98
40,2016-11-07,9.99
41,2016-11-03,10.27
42,2016-11-02,10.49
43,2016-11-01,10.42
44,2016-10-31,10.54
45,2016-10-28,10.43
46,2016-10-27,10.36
47,2016-10-26,10.37
48,2016-10-25,10.35
49,2016-10-24,10.37
50,2016-10-21,10.57
51,2016-10-20,10.4
52,2016-10-19,10.39
53,2016-10-18,10.34
54,2016-10-17,10.41
55,2016-10-14,10.43
56,2016-10-13,10.38
57,2016-10-12,10.35
58,2016-10-11,10.46
59,2016-10-10,10.27
60,2016-10-07,10.25
61,2016-10-06,10.17
62,2016-10-05,10.18
63,2016-10-04,10.15
64,2016-10-03,10.08
65,2016-09-30,10.34
66,2016-09-29,10.23
67,2016-09-28,10.1
68,2016-09-27,10.14
69,2016-09-26,10.1
70,2016-09-23,10.05
71,2016-09-22,10.2
72,2016-09-21,10.29
73,2016-09-20,10.25
74,2016-09-19,10.48
75,2016-09-16,10.55
76,2016-09-15,10.56
77,2016-09-14,10.57
78,2016-09-13,10.64
79,2016-09-12,10.53
80,2016-09-09,10.64
81,2016-09-08,10.58
82,2016-09-07,10.59
83,2016-09-06,10.62
84,2016-09-05,10.56
85,2016-09-02,10.56
86,2016-09-01,10.55
87,2016-08-31,10.57
88,2016-08-30,10.64
89,2016-08-29,10.52
90,2016-08-26,10.51
91,2016-08-25,10.59
92,2016-08-24,10.56
93,2016-08-23,10.64
94,2016-08-22,10.68
95,2016-08-19,10.6
96,2016-08-18,10.59
97,2016-08-17,10.57
98,2016-08-16,10.69
99,2016-08-15,10.52
100,2016-08-12,10.58
101,2016-08-11,10.65
102,2016-08-10,10.55
103,2016-08-09,10.58
104,2016-08-08,10.58
105,2016-08-05,10.63
106,2016-08-04,10.58
107,2016-08-03,10.55
108,2016-08-02,10.53
109,2016-08-01,10.66
110,2016-07-29,10.63
111,2016-07-28,10.61
112,2016-07-27,10.62
113,2016-07-26,10.66
114,2016-07-25,10.6
115,2016-07-22,10.69
116,2016-07-21,10.58
117,2016-07-20,10.65
118,2016-07-19,10.65
119,2016-07-18,10.55
120,2016-07-15,10.59
121,2016-07-14,10.71
122,2016-07-13,10.55
123,2016-07-12,10.51
124,2016-07-11,10.55
125,2016-07-08,10.5
126,2016-07-07,10.56
127,2016-07-06,10.62
128,2016-07-05,10.74
129,2016-07-04,10.93
130,2016-07-01,10.93
131,2016-06-30,10.87
132,2016-06-29,10.83
133,2016-06-28,10.63
134,2016-06-27,10.51
135,2016-06-24,10.59
136,2016-06-23,10.66
137,2016-06-22,10.68
138,2016-06-21,10.66
139,2016-06-20,10.64
140,2016-06-17,10.83
141,2016-06-16,10.77
142,2016-06-15,10.74
143,2016-06-14,10.91
144,2016-06-10,11.16
145,2016-06-09,11.31
146,2016-06-08,11.19
147,2016-06-07,11.3
148,2016-06-06,11.43
149,2016-06-03,11.64
150,2016-06-02,11.38
151,2016-06-01,11.43
152,2016-05-31,11.3
153,2016-05-30,11.4
154,2016-05-27,11.53
155,2016-05-26,11.46
156,2016-05-25,11.42
157,2016-05-24,11.35
158,2016-05-23,11.37
159,2016-05-20,11.36
160,2016-05-19,11.33
161,2016-05-18,11.32
162,2016-05-17,11.37
163,2016-05-16,11.28
164,2016-05-13,11.29
165,2016-05-12,11.13
166,2016-05-11,10.84
167,2016-05-10,10.99
168,2016-05-06,11.29
169,2016-05-05,11.33
170,2016-05-04,11.26
171,2016-04-29,11.09
172,2016-04-28,11.05
173,2016-04-27,11.06
174,2016-04-26,11.02
175,2016-04-25,11.02
176,2016-04-22,10.97
177,2016-04-21,11.06
178,2016-04-20,11.07
179,2016-04-19,11.15
180,2016-04-18,11.19
181,2016-04-15,11.18
182,2016-04-14,11.18
183,2016-04-13,11.22
184,2016-04-12,11.25
185,2016-04-11,11.15
186,2016-04-08,11.36
187,2016-04-07,10.7
188,2016-04-06,10.98
189,2016-04-05,11.18
190,2016-04-04,11.2
191,2016-04-01,11.32
192,2016-03-31,11.36
193,2016-03-30,11.42
194,2016-03-29,11.29
195,2016-03-28,11.21
196,2016-03-25,11.29
197,2016-03-24,11.2
198,2016-03-23,11.26
199,2016-03-22,11.34
200,2016-03-21,11.25
201,2016-03-18,11.36
202,2016-03-17,11.42
203,2016-03-16,11.44
204,2016-03-15,11.46
205,2016-03-14,11.31
206,2016-03-11,11.21
207,2016-03-10,11.36
208,2016-03-09,11.41
209,2016-03-04,11.25
210,2016-03-03,11.2
211,2016-03-02,11.25
212,2016-03-01,11.05
213,2016-02-29,11.34
214,2016-02-26,11.27
215,2016-02-25,11.12
216,2016-02-24,11.34
217,2016-02-20,11.35
218,2016-02-19,11.25
219,2016-02-18,11.35
220,2016-02-17,11.28
221,2016-02-16,11.27
222,2016-02-15,11.32
223,2016-02-12,11.37
224,2016-02-11,11.24
225,2016-02-10,11.12
226,2016-02-09,11.16
227,2016-02-08,11.21
228,2016-02-05,11.41
229,2016-02-04,11.26
230,2016-02-03,11.29
231,2016-02-02,11.38
232,2016-02-01,11.39
233,2016-01-29,11.47
234,2016-01-28,11.44
235,2016-01-27,11.39
236,2016-01-26,11.38
237,2016-01-25,11.53
238,2016-01-22,11.47
239,2016-01-21,11.38
240,2016-01-20,11.47
241,2016-01-19,11.51
242,2016-01-18,11.46
243,2016-01-15,11.49
244,2016-01-14,11.43
245,2016-01-13,11.41
246,2016-01-12,11.27
247,2016-01-11,11.41
248,2015-12-31,10.98
249,2015-12-30,11.31
250,2015-12-29,11.23
251,2015-12-28,11.4
252,2015-12-25,11.59
253,2015-12-24,11.35
254,2015-12-23,11.52
255,2015-12-22,11.78
256,2015-12-21,11.8
257,2015-12-18,11.77
258,2015-12-17,11.72
259,2015-12-16,11.74
260,2015-12-15,11.7
261,2015-12-14,11.73
262,2015-12-11,11.83
263,2015-12-10,11.78
264,2015-12-09,11.88
265,2015-12-08,11.79
266,2015-12-07,11.58
267,2015-12-04,11.48
268,2015-12-03,11.53
269,2015-12-02,11.62
270,2015-12-01,11.68
271,2015-11-30,11.67
272,2015-11-27,11.82
273,2015-11-26,11.76
274,2015-11-25,11.73
275,2015-11-24,11.79
276,2015-11-23,11.74
277,2015-11-20,11.78
278,2015-11-19,11.76
279,2015-11-18,11.72
280,2015-11-17,11.76
281,2015-11-16,11.67
282,2015-11-13,11.74
283,2015-11-12,11.73
284,2015-11-11,11.79
285,2015-11-10,11.66
286,2015-11-09,11.77
287,2015-11-06,11.75
288,2015-11-05,11.63
289,2015-11-03,11.68
290,2015-11-02,11.59
291,2015-10-30,11.64
292,2015-10-29,11.72
293,2015-10-28,11.62
294,2015-10-27,11.71
295,2015-10-26,11.68
296,2015-10-23,11.68
297,2015-10-22,11.65
298,2015-10-21,11.71
299,2015-10-20,11.65
300,2015-10-19,11.68
301,2015-10-16,11.67
302,2015-10-15,11.63
303,2015-10-14,11.66
304,2015-10-13,11.46
305,2015-10-12,11.17
306,2015-10-09,11.26
307,2015-10-08,10.96
308,2015-10-07,11.08
309,2015-10-06,11.33
310,2015-10-05,11.77
311,2015-10-02,11.86
312,2015-10-01,11.73
313,2015-09-30,11.78
314,2015-09-29,11.76
315,2015-09-28,11.83
316,2015-09-25,11.76
317,2015-09-24,11.67
318,2015-09-23,11.82
319,2015-09-22,11.84
320,2015-09-21,11.72
321,2015-09-18,11.79
322,2015-09-17,11.85
323,2015-09-16,11.81
324,2015-09-15,11.89
325,2015-09-14,11.6
326,2015-09-11,11.38
327,2015-09-10,11.13
328,2015-09-09,11.19
329,2015-09-08,11.17
330,2015-09-07,11.31
331,2015-09-04,11.24
332,2015-09-03,11.24
333,2015-09-02,11.41
334,2015-09-01,11.58
335,2015-08-31,11.47
336,2015-08-28,11.56
337,2015-08-27,11.62
338,2015-08-26,11.53
339,2015-08-25,11.55
340,2015-08-24,11.44
341,2015-08-21,11.52
342,2015-08-20,11.51
343,2015-08-19,11.57
344,2015-08-18,11.47
345,2015-08-17,11.44
346,2015-08-14,11.35
347,2015-08-13,11.11
348,2015-08-12,11.0
349,2015-08-11,11.16
350,2015-08-10,10.91
351,2015-08-07,11.02
352,2015-08-06,10.98
353,2015-08-05,11.22
354,2015-08-04,11.2
355,2015-08-03,11.53
356,2015-07-31,11.87
357,2015-07-30,11.85
358,2015-07-29,12.02
359,2015-07-28,12.1
360,2015-07-27,11.91
361,2015-07-24,11.91
362,2015-07-23,12.11
363,2015-07-22,12.4
364,2015-07-21,12.47
365,2015-07-20,12.38
366,2015-07-17,12.45
367,2015-07-16,12.29
368,2015-07-15,12.33
369,2015-07-14,12.28
370,2015-07-13,12.13
371,2015-07-10,11.79
372,2015-07-09,11.66
373,2015-07-08,11.78
374,2015-07-07,11.87
375,2015-07-06,12.15
376,2015-07-03,12.39
377,2015-07-02,12.47
378,2015-07-01,12.53
379,2015-06-30,12.54
380,2015-06-29,12.54
381,2015-06-26,12.53
382,2015-06-25,12.53
383,2015-06-24,12.5
384,2015-06-23,12.52
385,2015-06-22,12.54
386,2015-06-19,12.57
387,2015-06-18,12.56
388,2015-06-17,12.61
389,2015-06-16,12.83
390,2015-06-15,13.24
391,2015-06-11,13.37
392,2015-06-10,13.42
393,2015-06-09,13.42
394,2015-06-08,13.41
395,2015-06-05,13.41
396,2015-06-04,13.26
397,2015-06-03,13.21
398,2015-06-02,13.31
399,2015-06-01,13.35
400,2015-05-29,13.35
401,2015-05-28,13.32
402,2015-05-27,13.36
403,2015-05-26,13.18
404,2015-05-25,13.12
405,2015-05-22,13.11
406,2015-05-21,13.27
407,2015-05-20,13.39
408,2015-05-19,13.46
409,2015-05-18,13.42
410,2015-05-15,13.39
411,2015-05-14,13.35
412,2015-05-13,13.17
413,2015-05-12,13.2
414,2015-05-08,13.21
