,date,on,1w,2w,1m,2m,3m,6m
1,03.04.2019,789,789,798,816,825,830,843
2,02.04.2019,788,788,798,817,826,831,843
3,01.04.2019,788,788,798,817,826,831,843
4,29.03.2019,790,791,798,817,826,831,845
5,28.03.2019,783,792,798,818,826,831,845
6,27.03.2019,792,793,799,817,826,831,845
7,26.03.2019,792,790,798,816,826,831,845
8,25.03.2019,781,785,798,816,825,831,845
9,22.03.2019,770,784,798,814,825,833,848
10,21.03.2019,770,784,798,815,827,834,848
11,20.03.2019,773,786,798,816,831,839,850
12,19.03.2019,774,784,798,818,835,844,855
13,18.03.2019,774,784,798,822,837,847,858
14,15.03.2019,775,787,799,821,834,844,855
15,14.03.2019,775,788,799,821,834,844,857
16,13.03.2019,783,789,799,821,834,845,858
17,12.03.2019,785,788,799,821,838,851,863
18,11.03.2019,789,789,800,823,845,860,868
19,07.03.2019,792,791,800,823,845,860,869
20,06.03.2019,790,791,800,823,846,861,869
21,05.03.2019,788,790,800,824,850,863,869
22,04.03.2019,788,792,801,824,850,864,869
23,01.03.2019,786,788,800,824,850,864,869
24,28.02.2019,782,787,798,824,848,863,870
25,27.02.2019,778,786,797,824,848,862,868
26,26.02.2019,771,783,797,824,848,862,868
27,25.02.2019,767,780,796,824,848,862,868
28,22.02.2019,758,782,798,824,848,862,868
29,21.02.2019,769,785,800,825,851,862,868
30,20.02.2019,784,786,798,825,852,862,868
31,19.02.2019,782,786,798,825,850,862,868
32,18.02.2019,779,784,798,825,850,862,868
33,15.02.2019,782,787,798,825,850,862,868
34,14.02.2019,774,785,798,825,850,862,868
35,13.02.2019,775,785,798,825,849,860,868
36,12.02.2019,777,783,799,825,849,862,868
37,11.02.2019,777,783,801,823,852,863,869
38,08.02.2019,780,788,801,823,852,862,869
39,07.02.2019,781,792,803,823,852,862,869
40,06.02.2019,783,793,806,823,851,860,869
41,05.02.2019,780,793,806,823,854,863,871
42,04.02.2019,778,793,805,823,853,862,870
43,01.02.2019,784,804,810,824,851,858,868
44,31.01.2019,796,806,812,826,852,857,868
45,30.01.2019,798,806,812,825,850,857,868
46,29.01.2019,801,806,812,825,850,857,868
47,28.01.2019,799,804,809,825,850,856,868
48,25.01.2019,795,802,809,825,850,856,868
49,24.01.2019,795,803,809,824,853,858,868
50,23.01.2019,798,804,809,824,853,858,868
51,22.01.2019,798,801,808,823,853,858,868
52,21.01.2019,788,795,804,823,853,858,868
53,18.01.2019,787,791,801,823,853,858,868
54,17.01.2019,786,789,799,823,853,858,868
55,16.01.2019,785,789,799,823,854,859,868
56,15.01.2019,782,790,800,823,854,859,868
57,14.01.2019,783,792,802,823,854,860,868
