,Date,Price
0,2019-04-02,587.05
1,2019-04-01,586.51
2,2019-03-29,579.71
3,2019-03-28,571.16
4,2019-03-27,568.46
5,2019-03-26,572.02
6,2019-03-25,570.23
7,2019-03-22,575.46
8,2019-03-21,583.64
9,2019-03-20,586.69
10,2019-03-19,589.91
11,2019-03-18,588.56
12,2019-03-15,580.13
13,2019-03-14,575.18
14,2019-03-13,576.67
15,2019-03-12,577.18
16,2019-03-11,570.97
17,2019-03-08,560.58
18,2019-03-07,568.65
19,2019-03-06,577.57
20,2019-03-05,576.81
21,2019-03-04,572.59
22,2019-03-01,567.98
23,2019-02-28,565.5
24,2019-02-27,569.95
25,2019-02-26,572.12
26,2019-02-25,574.87
27,2019-02-22,568.91
28,2019-02-21,561.74
29,2019-02-20,560.45
30,2019-02-19,555.68
31,2019-02-18,554.44
32,2019-02-15,552.16
33,2019-02-14,558.2
34,2019-02-13,560.19
35,2019-02-12,558.96
36,2019-02-11,554.68
37,2019-02-08,554.55
38,2019-02-07,556.07
39,2019-02-06,559.14
40,2019-02-05,562.42
41,2019-02-04,560.17
42,2019-02-01,560.61
43,2019-01-31,558.61
44,2019-01-30,549.75
45,2019-01-29,543.84
46,2019-01-28,543.32
47,2019-01-25,547.25
48,2019-01-24,541.42
49,2019-01-23,536.5
50,2019-01-22,535.62
51,2019-01-21,542.4
52,2019-01-18,541.53
53,2019-01-17,535.22
54,2019-01-16,535.68
55,2019-01-15,532.85
56,2019-01-14,525.43
57,2019-01-11,530.84
58,2019-01-10,530.93
59,2019-01-09,529.14
60,2019-01-08,518.69
61,2019-01-07,518.09
62,2019-01-04,512.85
63,2019-01-03,501.56
64,2019-01-02,504.73
65,2019-01-01,508.74
66,2018-12-31,508.47
67,2018-12-28,506.05
68,2018-12-27,500.36
69,2018-12-26,500.91
70,2018-12-25,498.66
71,2018-12-24,499.14
72,2018-12-21,502.55
73,2018-12-20,505.15
74,2018-12-19,508.03
75,2018-12-18,509.77
76,2018-12-17,513.91
77,2018-12-14,517.27
78,2018-12-13,524.37
79,2018-12-12,519.78
80,2018-12-11,512.1
81,2018-12-10,510.38
82,2018-12-07,520.56
83,2018-12-06,520.59
84,2018-12-05,533.38
85,2018-12-04,538.69
86,2018-12-03,540.76
87,2018-11-30,530.84
88,2018-11-29,528.46
89,2018-11-28,527.53
90,2018-11-27,519.4
91,2018-11-26,516.24
92,2018-11-23,512.91
93,2018-11-22,517.5
94,2018-11-21,517.29
95,2018-11-20,514.9
96,2018-11-19,523.4
97,2018-11-16,522.99
98,2018-11-15,519.25
99,2018-11-14,510.71
100,2018-11-13,509.14
101,2018-11-12,506.37
102,2018-11-09,510.36
103,2018-11-08,520.14
104,2018-11-07,523.6
105,2018-11-06,521.58
106,2018-11-05,520.61
107,2018-11-02,526.57
108,2018-11-01,513.24
109,2018-10-31,502.1
110,2018-10-30,490.1
111,2018-10-29,489.02
112,2018-10-26,492.83
113,2018-10-25,496.55
114,2018-10-24,495.59
115,2018-10-23,500.17
116,2018-10-22,511.85
117,2018-10-19,501.65
118,2018-10-18,501.25
119,2018-10-17,507.67
120,2018-10-16,510.2
121,2018-10-15,503.32
122,2018-10-12,506.94
123,2018-10-11,494.29
124,2018-10-10,506.59
125,2018-10-09,512.24
126,2018-10-08,514.48
