,Date,Rests
1,2019-10-02,2819.5
2,2019-09-30,2824.0
3,2019-09-27,2449.3
4,2019-09-26,2270.4
5,2019-09-25,2584.6
6,2019-09-24,2730.0
7,2019-09-23,2685.9
8,2019-09-20,2633.2
9,2019-09-19,2612.3
10,2019-09-18,2714.2
11,2019-09-17,2637.7
12,2019-09-16,2612.3
13,2019-09-13,2575.7
14,2019-09-12,2534.3
15,2019-09-11,2334.5
16,2019-09-10,2368.3
17,2019-09-09,2252.8
18,2019-09-06,2189.1
19,2019-09-05,2084.8
20,2019-09-04,2012.0
21,2019-09-03,2300.9
22,2019-09-02,2109.9
23,2019-08-30,2384.0
24,2019-08-29,1852.4
25,2019-08-28,1752.2
26,2019-08-27,1711.7
27,2019-08-26,2434.4
28,2019-08-23,2623.5
29,2019-08-22,2778.1
30,2019-08-21,2576.4
31,2019-08-20,2381.9
32,2019-08-19,2382.3
33,2019-08-16,2339.5
34,2019-08-15,2472.6
35,2019-08-14,2911.0
36,2019-08-13,2926.3
37,2019-08-12,2890.3
38,2019-08-09,2678.9
39,2019-08-08,2727.8
40,2019-08-07,1658.4
41,2019-08-06,2477.3
42,2019-08-05,2614.1
43,2019-08-02,2451.8
44,2019-08-01,2601.3
45,2019-07-31,2541.6
46,2019-07-30,1946.7
47,2019-07-29,2105.9
48,2019-07-26,1889.9
49,2019-07-25,2819.7
50,2019-07-24,2568.2
51,2019-07-23,2673.5
52,2019-07-22,2496.8
53,2019-07-19,2286.4
54,2019-07-18,2270.1
55,2019-07-17,2456.7
56,2019-07-16,2295.7
57,2019-07-15,2467.2
58,2019-07-12,2613.8
59,2019-07-11,2704.6
60,2019-07-10,1663.2
61,2019-07-09,1833.6
62,2019-07-08,2019.5
63,2019-07-05,2346.1
64,2019-07-04,2131.3
65,2019-07-03,2461.5
66,2019-07-02,2616.8
67,2019-07-01,2391.7
68,2019-06-28,2447.8
69,2019-06-27,2464.8
70,2019-06-26,2153.7
71,2019-06-25,2747.7
72,2019-06-24,3070.8
73,2019-06-21,3010.5
74,2019-06-20,2856.3
75,2019-06-19,2457.6
76,2019-06-18,2274.2
77,2019-06-17,2312.7
78,2019-06-14,2423.8
79,2019-06-13,2512.4
80,2019-06-11,2314.7
81,2019-06-10,2295.6
82,2019-06-07,2159.1
83,2019-06-06,2122.3
84,2019-06-05,2293.9
85,2019-06-04,2366.7
86,2019-06-03,2216.5
87,2019-05-31,2182.3
88,2019-05-30,1856.8
89,2019-05-29,1632.0
90,2019-05-28,1560.3
91,2019-05-27,2517.6
92,2019-05-24,2629.3
93,2019-05-23,2567.0
94,2019-05-22,2916.9
95,2019-05-21,2694.1
96,2019-05-20,2697.2
97,2019-05-17,2699.7
98,2019-05-16,2640.1
99,2019-05-15,2681.1
100,2019-05-14,2382.9
101,2019-05-13,2299.3
102,2019-05-08,9275.0
103,2019-05-07,1584.9
104,2019-05-06,2487.2
105,2019-04-30,1680.4
106,2019-04-29,1986.9
107,2019-04-26,1976.3
108,2019-04-25,2748.2
109,2019-04-24,2977.3
110,2019-04-23,2896.6
111,2019-04-22,2817.8
112,2019-04-19,2720.4
113,2019-04-18,2733.3
114,2019-04-17,2435.9
115,2019-04-16,2355.5
