,Date,Ruonia
0,2019-04-02,7.61
1,2019-04-01,7.61
2,2019-03-29,7.81
3,2019-03-28,7.52
4,2019-03-27,7.63
5,2019-03-26,7.76
6,2019-03-25,7.81
7,2019-03-22,7.45
8,2019-03-21,7.44
9,2019-03-20,7.42
10,2019-03-19,7.46
11,2019-03-18,7.45
12,2019-03-15,7.5
13,2019-03-14,7.48
14,2019-03-13,7.53
15,2019-03-12,7.54
16,2019-03-11,7.69
17,2019-03-07,7.78
18,2019-03-06,7.73
19,2019-03-05,7.72
20,2019-03-04,7.59
21,2019-03-01,7.51
22,2019-02-28,7.54
23,2019-02-27,7.64
24,2019-02-26,7.49
25,2019-02-25,7.5
26,2019-02-22,7.2
27,2019-02-21,7.38
28,2019-02-20,7.54
29,2019-02-19,7.62
30,2019-02-18,7.56
31,2019-02-15,7.54
32,2019-02-14,7.34
33,2019-02-13,7.53
34,2019-02-12,7.48
35,2019-02-11,7.61
36,2019-02-08,7.6
37,2019-02-07,7.61
38,2019-02-06,7.58
39,2019-02-05,7.53
40,2019-02-04,7.5
41,2019-02-01,7.6
42,2019-01-31,7.62
43,2019-01-30,7.72
44,2019-01-29,7.78
45,2019-01-28,7.76
46,2019-01-25,7.71
47,2019-01-24,7.55
48,2019-01-23,7.56
49,2019-01-22,7.66
50,2019-01-21,7.62
51,2019-01-18,7.63
52,2019-01-17,7.58
53,2019-01-16,7.56
54,2019-01-15,7.53
55,2019-01-14,7.53
56,2019-01-11,7.53
57,2019-01-10,7.53
58,2019-01-09,7.59
59,2018-12-28,7.07
60,2018-12-27,7.55
61,2018-12-26,7.43
62,2018-12-25,7.62
63,2018-12-24,7.62
64,2018-12-21,7.66
65,2018-12-20,7.66
66,2018-12-19,7.68
67,2018-12-18,7.67
68,2018-12-17,7.57
69,2018-12-14,7.5
70,2018-12-13,7.38
71,2018-12-12,7.4
72,2018-12-11,7.43
73,2018-12-10,7.42
74,2018-12-07,7.38
75,2018-12-06,7.41
76,2018-12-05,7.41
77,2018-12-04,7.41
78,2018-12-03,7.28
79,2018-11-30,7.5
80,2018-11-29,7.29
81,2018-11-28,7.46
82,2018-11-27,7.57
83,2018-11-26,7.43
84,2018-11-23,7.07
85,2018-11-22,6.91
