,Date,Price
0,2019-04-04,15.057
1,2019-04-03,15.117
2,2019-04-02,15.061
3,2019-04-01,15.099
4,2019-03-31,15.113
5,2019-03-29,15.11
6,2019-03-28,14.973
7,2019-03-27,15.298
8,2019-03-26,15.429
9,2019-03-25,15.567
10,2019-03-24,15.408
11,2019-03-22,15.407
12,2019-03-21,15.437
13,2019-03-20,15.318
14,2019-03-19,15.372
15,2019-03-18,15.322
16,2019-03-17,15.268
17,2019-03-15,15.324
18,2019-03-14,15.171
19,2019-03-13,15.456
20,2019-03-12,15.413
21,2019-03-11,15.274
22,2019-03-10,15.338
23,2019-03-08,15.349
24,2019-03-07,15.04
25,2019-03-06,15.085
26,2019-03-05,15.105
27,2019-03-04,15.105
28,2019-03-03,15.16
29,2019-03-01,15.256
30,2019-02-28,15.634
31,2019-02-27,15.766
32,2019-02-26,15.926
33,2019-02-25,15.928
34,2019-02-24,15.883
35,2019-02-22,16.012
36,2019-02-21,15.906
37,2019-02-20,16.281
38,2019-02-19,16.067
39,2019-02-18,15.787
40,2019-02-17,15.748
41,2019-02-15,15.84
42,2019-02-14,15.622
43,2019-02-13,15.748
44,2019-02-12,15.788
45,2019-02-11,15.788
46,2019-02-10,15.818
47,2019-02-08,15.907
48,2019-02-07,15.811
49,2019-02-06,15.8
50,2019-02-05,15.935
51,2019-02-04,15.984
52,2019-02-03,15.912
53,2019-02-01,16.026
54,2019-01-31,16.166
55,2019-01-30,16.021
56,2019-01-29,15.933
57,2019-01-28,15.858
58,2019-01-27,15.732
59,2019-01-25,15.791
60,2019-01-24,15.392
61,2019-01-23,15.471
62,2019-01-22,15.415
63,2019-01-21,15.283
64,2019-01-20,15.363
65,2019-01-18,15.489
66,2019-01-17,15.628
67,2019-01-16,15.729
68,2019-01-15,15.711
69,2019-01-14,15.781
70,2019-01-13,15.637
71,2019-01-11,15.751
72,2019-01-10,15.739
73,2019-01-09,15.831
74,2019-01-08,15.806
75,2019-01-07,15.846
76,2019-01-06,15.755
77,2019-01-04,15.876
78,2019-01-03,15.885
79,2019-01-02,15.735
80,2019-01-01,15.523
81,2018-12-31,15.626
82,2018-12-30,15.438
83,2018-12-28,15.521
84,2018-12-27,15.398
85,2018-12-26,15.212
86,2018-12-25,14.812
87,2018-12-24,14.905
88,2018-12-23,14.723
89,2018-12-21,14.788
90,2018-12-20,14.956
91,2018-12-19,14.904
92,2018-12-18,14.787
93,2018-12-17,14.844
94,2018-12-16,14.637
95,2018-12-14,14.722
96,2018-12-13,14.938
97,2018-12-12,14.935
98,2018-12-11,14.713
99,2018-12-10,14.691
100,2018-12-09,14.697
101,2018-12-07,14.782
102,2018-12-06,14.597
103,2018-12-05,14.673
104,2018-12-04,14.732
105,2018-12-03,14.591
106,2018-12-02,14.31
107,2018-11-30,14.307
108,2018-11-29,14.492
109,2018-11-28,14.546
110,2018-11-27,14.313
111,2018-11-26,14.438
112,2018-11-25,14.4
113,2018-11-23,14.462
114,2018-11-22,14.47
115,2018-11-21,14.719
116,2018-11-20,14.48
117,2018-11-19,14.619
118,2018-11-18,14.39
119,2018-11-16,14.602
120,2018-11-15,14.479
121,2018-11-14,14.298
122,2018-11-13,14.193
123,2018-11-12,14.229
124,2018-11-11,14.16
125,2018-11-09,14.354
126,2018-11-08,14.638
127,2018-11-07,14.782
128,2018-11-06,14.71
129,2018-11-05,14.858
130,2018-11-04,14.765
131,2018-11-02,14.964
132,2018-11-01,14.981
133,2018-10-31,14.484
134,2018-10-30,14.663
135,2018-10-29,14.644
136,2018-10-28,14.71
137,2018-10-26,14.901
138,2018-10-25,14.831
139,2018-10-24,14.876
140,2018-10-23,14.996
141,2018-10-22,14.783
142,2018-10-21,14.665
143,2018-10-19,14.845
144,2018-10-18,14.8
145,2018-10-17,14.862
146,2018-10-16,14.899
147,2018-10-15,14.928
148,2018-10-14,14.66
149,2018-10-12,14.835
150,2018-10-11,14.81
151,2018-10-10,14.528
152,2018-10-09,14.601
153,2018-10-08,14.529
154,2018-10-07,14.68
155,2018-10-05,14.852
156,2018-10-04,14.784
157,2018-10-03,14.86
158,2018-10-02,14.881
159,2018-10-01,14.694
160,2018-09-30,14.685
161,2018-09-28,14.898
162,2018-09-27,14.472
163,2018-09-26,14.585
164,2018-09-25,14.677
165,2018-09-24,14.519
166,2018-09-23,14.3
167,2018-09-21,14.538
168,2018-09-20,14.484
169,2018-09-19,14.459
170,2018-09-18,14.371
171,2018-09-17,14.411
172,2018-09-16,14.08
173,2018-09-14,14.327
174,2018-09-13,14.431
175,2018-09-12,14.478
176,2018-09-11,14.335
177,2018-09-10,14.36
178,2018-09-09,14.195
179,2018-09-07,14.345
180,2018-09-06,14.351
181,2018-09-05,14.394
182,2018-09-04,14.357
183,2018-09-03,14.52
184,2018-09-02,14.56
185,2018-08-31,14.742
186,2018-08-30,14.78
187,2018-08-29,14.996
188,2018-08-28,15.086
189,2018-08-27,15.152
190,2018-08-26,14.83
191,2018-08-24,15.079
192,2018-08-23,14.818
193,2018-08-22,15.029
194,2018-08-21,15.035
195,2018-08-20,14.937
196,2018-08-19,14.765
197,2018-08-17,14.903
198,2018-08-16,14.988
199,2018-08-15,14.731
200,2018-08-14,15.34
201,2018-08-13,15.268
202,2018-08-12,15.325
203,2018-08-10,15.585
204,2018-08-09,15.753
205,2018-08-08,15.717
206,2018-08-07,15.655
207,2018-08-06,15.624
208,2018-08-05,15.455
209,2018-08-03,15.742
210,2018-08-02,15.664
211,2018-08-01,15.743
212,2018-07-31,15.847
213,2018-07-30,15.819
214,2018-07-29,15.51
215,2018-07-27,15.775
216,2018-07-26,15.779
217,2018-07-25,15.876
218,2018-07-24,15.805
219,2018-07-23,15.717
220,2018-07-22,15.545
221,2018-07-20,15.844
222,2018-07-19,15.703
223,2018-07-18,15.881
224,2018-07-17,15.931
225,2018-07-16,16.135
226,2018-07-15,15.835
227,2018-07-13,16.14
228,2018-07-12,16.304
229,2018-07-11,16.138
230,2018-07-10,16.412
231,2018-07-09,16.461
232,2018-07-08,16.1
233,2018-07-06,16.384
234,2018-07-05,16.008
235,2018-07-04,16.13
236,2018-07-03,16.352
237,2018-07-02,16.144
238,2018-07-01,16.16
239,2018-06-29,16.104
240,2018-06-28,16.361
241,2018-06-27,16.557
242,2018-06-26,16.652
243,2018-06-25,16.733
244,2018-06-24,16.475
245,2018-06-22,16.867
246,2018-06-21,16.306
247,2018-06-20,16.289
248,2018-06-19,16.724
249,2018-06-18,16.845
250,2018-06-17,16.585
251,2018-06-15,16.452
252,2018-06-14,17.226
253,2018-06-13,17.416
254,2018-06-12,16.849
255,2018-06-11,16.905
256,2018-06-10,16.785
257,2018-06-08,16.694
258,2018-06-07,17.238
259,2018-06-06,16.642
260,2018-06-05,16.491
261,2018-06-04,16.379
262,2018-06-03,16.41
263,2018-06-01,16.891
264,2018-05-31,16.402
265,2018-05-30,16.479
266,2018-05-29,16.305
267,2018-05-28,16.495
268,2018-05-27,16.51
269,2018-05-25,16.481
270,2018-05-24,16.621
271,2018-05-23,16.338
272,2018-05-22,16.508
273,2018-05-21,16.452
274,2018-05-20,16.455
275,2018-05-18,16.387
276,2018-05-17,16.935
277,2018-05-16,16.297
278,2018-05-15,16.724
279,2018-05-14,16.57
280,2018-05-13,16.725
281,2018-05-11,16.676
282,2018-05-10,16.68
283,2018-05-09,16.458
284,2018-05-08,16.939
285,2018-05-07,16.953
286,2018-05-06,16.535
287,2018-05-04,16.975
288,2018-05-03,16.362
289,2018-05-02,16.826
290,2018-05-01,16.039
291,2018-04-30,16.312
292,2018-04-29,16.455
293,2018-04-27,16.957
294,2018-04-26,17.036
295,2018-04-25,17.045
296,2018-04-24,17.244
297,2018-04-23,17.117
298,2018-04-22,17.085
299,2018-04-20,17.666
300,2018-04-19,17.222
301,2018-04-18,17.761
302,2018-04-17,16.772
303,2018-04-16,16.662
304,2018-04-15,16.625
305,2018-04-13,16.628
306,2018-04-12,16.443
307,2018-04-11,16.738
308,2018-04-10,16.566
309,2018-04-09,17.061
310,2018-04-08,16.385
311,2018-04-06,16.91
312,2018-04-05,16.32
313,2018-04-04,16.811
