,Strike,IV
2,37500,57.75
3,40000,57.6
4,42500,57.38
5,45000,57.09
6,47500,56.7
7,50000,56.22
8,52500,55.62
9,55000,54.89
10,57500,54.05
11,60000,53.08
12,62500,51.99
13,65000,50.79
14,67500,49.5
15,70000,48.12
16,72500,46.66
17,75000,45.16
18,77500,43.62
19,80000,42.06
20,82500,40.49
21,85000,38.95
22,87500,37.43
23,90000,35.94
24,92500,34.51
25,95000,33.14
26,97500,31.83
27,100000,30.58
28,102500,29.39
29,105000,28.26
30,107500,27.18
31,110000,26.14
32,112500,25.12
33,115000,24.11
34,117500,23.1
35,120000,22.11
36,122500,21.15
37,125000,20.28
38,127500,19.53
39,130000,18.94
40,132500,18.51
41,135000,18.25
42,137500,18.15
43,140000,18.17
44,142500,18.3
45,145000,18.53
46,147500,18.84
47,150000,19.22
48,152500,19.65
49,155000,20.13
50,157500,20.65
51,160000,21.2
52,162500,21.78
53,165000,22.37
54,167500,22.98
55,170000,23.6
56,172500,24.22
57,175000,24.85
58,177500,25.47
59,180000,26.1
60,182500,26.71
61,185000,27.32
62,187500,27.93
63,190000,28.52
64,192500,29.1
65,195000,29.67
66,197500,30.22
67,,
