,Date,Price
0,2019-04-03,2873.4
1,2019-04-02,2867.24
2,2019-04-01,2867.19
3,2019-03-29,2834.4
4,2019-03-28,2815.44
5,2019-03-27,2805.37
6,2019-03-26,2818.46
7,2019-03-25,2798.36
8,2019-03-22,2800.71
9,2019-03-21,2854.88
10,2019-03-20,2824.23
11,2019-03-19,2832.57
12,2019-03-18,2832.94
13,2019-03-15,2822.48
14,2019-03-14,2808.48
15,2019-03-13,2810.92
16,2019-03-12,2791.52
17,2019-03-11,2783.3
18,2019-03-08,2743.07
19,2019-03-07,2748.93
20,2019-03-06,2771.45
21,2019-03-05,2789.65
22,2019-03-04,2792.81
23,2019-03-01,2803.69
24,2019-02-28,2784.49
25,2019-02-27,2792.38
26,2019-02-26,2793.9
27,2019-02-25,2796.11
28,2019-02-22,2792.67
29,2019-02-21,2774.88
30,2019-02-20,2784.7
31,2019-02-19,2779.76
32,2019-02-15,2775.6
33,2019-02-14,2745.73
34,2019-02-13,2753.03
35,2019-02-12,2744.73
36,2019-02-11,2709.8
37,2019-02-08,2707.88
38,2019-02-07,2706.05
39,2019-02-06,2731.61
40,2019-02-05,2737.7
41,2019-02-04,2724.87
42,2019-02-01,2706.53
43,2019-01-31,2704.1
44,2019-01-30,2681.05
45,2019-01-29,2640.0
46,2019-01-28,2643.85
47,2019-01-25,2664.76
48,2019-01-24,2642.33
49,2019-01-23,2638.7
50,2019-01-22,2632.9
51,2019-01-18,2670.71
52,2019-01-17,2635.96
53,2019-01-16,2616.1
54,2019-01-15,2610.3
55,2019-01-14,2582.61
56,2019-01-11,2596.26
57,2019-01-10,2596.64
58,2019-01-09,2584.96
59,2019-01-08,2574.41
60,2019-01-07,2549.69
61,2019-01-04,2531.94
62,2019-01-03,2447.89
63,2019-01-02,2510.03
64,2018-12-31,2506.85
65,2018-12-28,2485.74
66,2018-12-27,2488.83
67,2018-12-26,2467.7
68,2018-12-24,2351.1
69,2018-12-21,2416.62
70,2018-12-20,2467.42
71,2018-12-19,2506.96
72,2018-12-18,2546.16
73,2018-12-17,2545.94
74,2018-12-14,2599.95
75,2018-12-13,2650.54
76,2018-12-12,2651.07
77,2018-12-11,2636.78
78,2018-12-10,2637.72
79,2018-12-07,2633.08
80,2018-12-06,2695.95
81,2018-12-04,2700.06
82,2018-12-03,2790.37
83,2018-11-30,2760.17
84,2018-11-29,2737.76
85,2018-11-28,2743.79
86,2018-11-27,2682.17
87,2018-11-26,2673.45
88,2018-11-23,2632.56
89,2018-11-21,2649.93
90,2018-11-20,2641.89
91,2018-11-19,2690.73
92,2018-11-16,2736.27
93,2018-11-15,2730.2
94,2018-11-14,2701.58
95,2018-11-13,2722.18
96,2018-11-12,2726.22
97,2018-11-09,2781.01
98,2018-11-08,2806.83
99,2018-11-07,2813.89
100,2018-11-06,2755.45
101,2018-11-05,2738.31
102,2018-11-02,2723.06
103,2018-11-01,2740.37
104,2018-10-31,2711.74
105,2018-10-30,2682.63
106,2018-10-29,2641.25
107,2018-10-26,2658.69
108,2018-10-25,2705.57
109,2018-10-24,2656.1
110,2018-10-23,2740.69
111,2018-10-22,2755.88
112,2018-10-19,2767.78
113,2018-10-18,2768.78
114,2018-10-17,2809.21
115,2018-10-16,2809.92
116,2018-10-15,2750.79
117,2018-10-12,2767.13
118,2018-10-11,2728.37
119,2018-10-10,2785.68
120,2018-10-09,2880.34
121,2018-10-08,2884.43
122,2018-10-05,2885.57
123,2018-10-04,2901.61
124,2018-10-03,2925.51
125,2018-10-02,2923.43
126,2018-10-01,2924.59
127,2018-09-28,2913.98
128,2018-09-27,2914.0
129,2018-09-26,2905.97
130,2018-09-25,2915.56
131,2018-09-24,2919.37
132,2018-09-21,2929.67
133,2018-09-20,2930.75
134,2018-09-19,2907.95
135,2018-09-18,2904.31
136,2018-09-17,2888.8
137,2018-09-14,2904.98
138,2018-09-13,2904.18
139,2018-09-12,2888.92
140,2018-09-11,2887.89
141,2018-09-10,2877.13
142,2018-09-07,2871.68
143,2018-09-06,2878.05
144,2018-09-05,2888.6
145,2018-09-04,2896.72
146,2018-08-31,2901.52
147,2018-08-30,2901.13
148,2018-08-29,2914.04
149,2018-08-28,2897.52
150,2018-08-27,2896.74
151,2018-08-24,2874.69
152,2018-08-23,2856.98
153,2018-08-22,2861.82
154,2018-08-21,2862.96
155,2018-08-20,2857.05
156,2018-08-17,2850.13
157,2018-08-16,2840.69
