,Date,t10,ofz,spread
0,2019-04-04,2.501,4.58,2.08
1,2019-04-03,2.519,4.58,2.06
2,2019-04-02,2.472,4.56,2.09
3,2019-04-01,2.503,4.57,2.07
4,2019-03-31,2.428,4.58,2.15
5,2019-03-29,2.407,4.58,2.17
6,2019-03-28,2.391,4.58,2.19
7,2019-03-27,2.381,4.54,2.16
8,2019-03-26,2.425,4.53,2.11
9,2019-03-25,2.405,4.56,2.16
10,2019-03-24,2.451,4.56,2.11
11,2019-03-22,2.437,4.56,2.12
12,2019-03-21,2.539,4.56,2.02
13,2019-03-20,2.525,4.59,2.07
14,2019-03-19,2.6180000000000003,4.6,1.98
15,2019-03-18,2.605,4.62,2.02
16,2019-03-17,2.594,4.65,2.06
17,2019-03-15,2.591,4.65,2.06
18,2019-03-14,2.63,4.65,2.02
19,2019-03-13,2.625,4.66,2.04
20,2019-03-12,2.6,4.66,2.06
21,2019-03-11,2.641,4.69,2.05
22,2019-03-10,2.63,4.71,2.08
23,2019-03-08,2.63,4.71,2.08
24,2019-03-07,2.641,4.71,2.07
25,2019-03-06,2.693,4.75,2.06
26,2019-03-05,2.719,4.77,2.05
27,2019-03-04,2.7239999999999998,4.75,2.03
28,2019-03-03,2.766,4.75,1.98
29,2019-03-01,2.759,4.75,1.99
30,2019-02-28,2.717,4.74,2.02
31,2019-02-27,2.6860000000000004,4.75,2.06
32,2019-02-26,2.638,4.74,2.1
33,2019-02-25,2.668,4.76,2.09
34,2019-02-24,2.6660000000000004,4.8,2.13
35,2019-02-22,2.654,4.8,2.15
36,2019-02-21,2.695,4.78,2.09
37,2019-02-20,2.648,4.79,2.14
38,2019-02-19,2.636,4.83,2.19
39,2019-02-18,2.673,4.83,2.16
40,2019-02-15,2.6639999999999997,4.84,2.18
41,2019-02-14,2.655,4.74,2.09
42,2019-02-13,2.7089999999999996,4.75,2.04
43,2019-02-12,2.6860000000000004,4.74,2.05
44,2019-02-11,2.654,4.74,2.09
45,2019-02-10,2.634,4.72,2.09
46,2019-02-08,2.634,4.72,2.09
47,2019-02-07,2.657,4.72,2.06
48,2019-02-06,2.7,4.72,2.02
49,2019-02-05,2.7039999999999997,4.75,2.05
50,2019-02-04,2.725,4.76,2.04
51,2019-02-03,2.6910000000000003,4.76,2.07
52,2019-02-01,2.6839999999999997,4.76,2.08
53,2019-01-31,2.633,4.73,2.1
54,2019-01-30,2.678,4.77,2.09
55,2019-01-29,2.71,4.8,2.09
56,2019-01-28,2.748,4.76,2.01
57,2019-01-27,2.755,4.75,2.0
58,2019-01-25,2.759,4.75,1.99
59,2019-01-24,2.716,4.76,2.04
60,2019-01-23,2.75,4.76,2.01
61,2019-01-22,2.741,4.77,2.03
62,2019-01-21,2.773,4.77,2.0
63,2019-01-18,2.7880000000000003,4.77,1.98
64,2019-01-17,2.75,4.79,2.04
65,2019-01-16,2.727,4.78,2.05
66,2019-01-15,2.718,4.78,2.06
67,2019-01-14,2.7060000000000004,4.78,2.07
68,2019-01-13,2.699,4.81,2.11
69,2019-01-11,2.699,4.81,2.11
70,2019-01-10,2.7460000000000004,4.85,2.1
71,2019-01-09,2.7119999999999997,4.72,2.01
72,2019-01-08,2.73,4.69,1.96
73,2019-01-07,2.698,4.79,2.09
74,2019-01-06,2.668,4.79,2.12
75,2019-01-04,2.668,4.79,2.12
76,2019-01-03,2.552,4.82,2.27
77,2019-01-02,2.633,4.94,2.31
78,2019-01-01,2.6860000000000004,4.91,2.22
