,Date,Price,Open,High,Low,Change %
0,"Apr 04, 2019",2.506,2.515,2.526,2.503,-0.50%
1,"Apr 03, 2019",2.519,2.471,2.528,2.471,1.89%
2,"Apr 02, 2019",2.472,2.488,2.492,2.467,-1.24%
3,"Apr 01, 2019",2.503,2.43,2.508,2.424,3.09%
4,"Mar 31, 2019",2.428,2.424,2.428,2.424,0.87%
5,"Mar 29, 2019",2.407,2.3930000000000002,2.4330000000000003,2.391,0.67%
6,"Mar 28, 2019",2.391,2.365,2.405,2.34,0.42%
7,"Mar 27, 2019",2.381,2.425,2.432,2.352,-1.81%
8,"Mar 26, 2019",2.425,2.414,2.4530000000000003,2.4019999999999997,0.83%
9,"Mar 25, 2019",2.405,2.4530000000000003,2.4730000000000003,2.377,-1.89%
10,"Mar 24, 2019",2.451,2.45,2.451,2.45,0.59%
11,"Mar 22, 2019",2.437,2.539,2.539,2.418,-4.02%
12,"Mar 21, 2019",2.539,2.524,2.546,2.5,0.55%
13,"Mar 20, 2019",2.525,2.616,2.6180000000000003,2.524,-3.55%
14,"Mar 19, 2019",2.6180000000000003,2.603,2.634,2.591,0.50%
15,"Mar 18, 2019",2.605,2.594,2.611,2.585,0.41%
16,"Mar 17, 2019",2.594,2.592,2.594,2.592,0.13%
17,"Mar 15, 2019",2.591,2.628,2.638,2.58,-1.48%
18,"Mar 14, 2019",2.63,2.6210000000000004,2.645,2.611,0.19%
19,"Mar 13, 2019",2.625,2.6069999999999998,2.628,2.605,0.96%
20,"Mar 12, 2019",2.6,2.657,2.674,2.596,-1.55%
21,"Mar 11, 2019",2.641,2.63,2.659,2.623,0.41%
22,"Mar 10, 2019",2.63,2.628,2.63,2.628,0.00%
23,"Mar 08, 2019",2.63,2.645,2.6519999999999997,2.6069999999999998,-0.42%
24,"Mar 07, 2019",2.641,2.69,2.693,2.636,-1.93%
25,"Mar 06, 2019",2.693,2.719,2.72,2.679,-0.96%
26,"Mar 05, 2019",2.719,2.728,2.75,2.715,-0.18%
27,"Mar 04, 2019",2.7239999999999998,2.766,2.7680000000000002,2.719,-1.51%
28,"Mar 03, 2019",2.766,2.77,2.77,2.766,0.25%
29,"Mar 01, 2019",2.759,2.719,2.7680000000000002,2.7110000000000003,1.55%
30,"Feb 28, 2019",2.717,2.675,2.7310000000000003,2.659,1.15%
31,"Feb 27, 2019",2.6860000000000004,2.634,2.699,2.628,1.82%
32,"Feb 26, 2019",2.638,2.6630000000000003,2.668,2.6319999999999997,-1.12%
33,"Feb 25, 2019",2.668,2.668,2.6839999999999997,2.655,0.07%
34,"Feb 24, 2019",2.6660000000000004,2.6639999999999997,2.6660000000000004,2.6639999999999997,0.46%
35,"Feb 22, 2019",2.654,2.688,2.688,2.638,-1.52%
36,"Feb 21, 2019",2.695,2.645,2.697,2.641,1.77%
37,"Feb 20, 2019",2.648,2.641,2.659,2.627,0.46%
38,"Feb 19, 2019",2.636,2.675,2.675,2.634,-1.40%
39,"Feb 18, 2019",2.673,2.673,2.673,2.673,0.35%
40,"Feb 15, 2019",2.6639999999999997,2.659,2.688,2.645,0.34%
41,"Feb 14, 2019",2.655,2.698,2.713,2.6430000000000002,-1.99%
42,"Feb 13, 2019",2.7089999999999996,2.693,2.715,2.681,0.86%
43,"Feb 12, 2019",2.6860000000000004,2.654,2.6910000000000003,2.654,1.21%
44,"Feb 11, 2019",2.654,2.638,2.67,2.636,0.76%
45,"Feb 10, 2019",2.634,2.634,2.634,2.634,0.00%
46,"Feb 08, 2019",2.634,2.657,2.659,2.625,-0.87%
47,"Feb 07, 2019",2.657,2.697,2.698,2.65,-1.59%
48,"Feb 06, 2019",2.7,2.7039999999999997,2.7039999999999997,2.673,-0.15%
49,"Feb 05, 2019",2.7039999999999997,2.718,2.74,2.688,-0.77%
50,"Feb 04, 2019",2.725,2.693,2.734,2.6839999999999997,1.25%
51,"Feb 03, 2019",2.6910000000000003,2.6910000000000003,2.6910000000000003,2.6910000000000003,0.28%
52,"Feb 01, 2019",2.6839999999999997,2.645,2.697,2.6239999999999997,1.94%
53,"Jan 31, 2019",2.633,2.6830000000000003,2.685,2.6189999999999998,-1.68%
54,"Jan 30, 2019",2.678,2.715,2.735,2.676,-1.18%
55,"Jan 29, 2019",2.71,2.742,2.747,2.7060000000000004,-1.38%
56,"Jan 28, 2019",2.748,2.755,2.766,2.728,-0.25%
57,"Jan 27, 2019",2.755,2.755,2.755,2.755,-0.15%
58,"Jan 25, 2019",2.759,2.721,2.76,2.719,1.58%
59,"Jan 24, 2019",2.716,2.7439999999999998,2.753,2.701,-1.24%
60,"Jan 23, 2019",2.75,2.739,2.779,2.734,0.33%
61,"Jan 22, 2019",2.741,2.775,2.779,2.727,-1.17%
62,"Jan 21, 2019",2.773,2.775,2.775,2.773,-0.52%
63,"Jan 18, 2019",2.7880000000000003,2.747,2.799,2.7430000000000003,1.38%
64,"Jan 17, 2019",2.75,2.72,2.761,2.698,0.84%
65,"Jan 16, 2019",2.727,2.713,2.7430000000000003,2.7039999999999997,0.33%
66,"Jan 15, 2019",2.718,2.7039999999999997,2.722,2.679,0.44%
67,"Jan 14, 2019",2.7060000000000004,2.676,2.7110000000000003,2.66,0.26%
68,"Jan 13, 2019",2.699,2.699,2.699,2.699,0.00%
69,"Jan 11, 2019",2.699,2.7310000000000003,2.74,2.681,-1.71%
70,"Jan 10, 2019",2.7460000000000004,2.71,2.747,2.678,1.25%
71,"Jan 09, 2019",2.7119999999999997,2.73,2.747,2.71,-0.66%
72,"Jan 08, 2019",2.73,2.6919999999999997,2.733,2.687,1.19%
73,"Jan 07, 2019",2.698,2.6660000000000004,2.701,2.6319999999999997,1.14%
74,"Jan 06, 2019",2.668,2.668,2.668,2.668,0.00%
75,"Jan 04, 2019",2.668,2.5639999999999996,2.678,2.543,4.55%
76,"Jan 03, 2019",2.552,2.6180000000000003,2.656,2.545,-3.08%
