,Date,Price
0,2018-07-10,2.867
1,2018-07-09,2.858
2,2018-07-08,2.825
3,2018-07-06,2.824
4,2018-07-05,2.833
5,2018-07-04,2.842
6,2018-07-03,2.833
7,2018-07-02,2.871
8,2018-07-01,2.856
9,2018-06-29,2.86
10,2018-06-28,2.84
11,2018-06-27,2.827
12,2018-06-26,2.877
13,2018-06-25,2.882
14,2018-06-24,2.891
15,2018-06-22,2.895
16,2018-06-21,2.899
17,2018-06-20,2.937
18,2018-06-19,2.897
19,2018-06-18,2.917
20,2018-06-17,2.921
21,2018-06-15,2.922
22,2018-06-14,2.935
23,2018-06-13,2.974
24,2018-06-12,2.965
25,2018-06-11,2.952
26,2018-06-10,2.952
27,2018-06-08,2.948
28,2018-06-07,2.922
29,2018-06-06,2.974
30,2018-06-05,2.926
31,2018-06-04,2.944
32,2018-06-03,2.906
33,2018-06-01,2.902
34,2018-05-31,2.86
35,2018-05-30,2.857
36,2018-05-29,2.79
37,2018-05-28,2.898
38,2018-05-25,2.931
39,2018-05-24,2.977
40,2018-05-23,2.994
41,2018-05-22,3.063
42,2018-05-21,3.058
43,2018-05-20,3.08
44,2018-05-18,3.06
45,2018-05-17,3.115
46,2018-05-16,3.104
47,2018-05-15,3.072
48,2018-05-14,3.002
49,2018-05-13,2.975
50,2018-05-11,2.97
51,2018-05-10,2.964
52,2018-05-09,3.006
53,2018-05-08,2.972
54,2018-05-07,2.952
55,2018-05-06,2.953
56,2018-05-04,2.951
57,2018-05-03,2.948
58,2018-05-02,2.976
59,2018-05-01,2.968
60,2018-04-30,2.955
61,2018-04-29,2.959
62,2018-04-27,2.959
63,2018-04-26,2.983
64,2018-04-25,3.031
65,2018-04-24,2.999
66,2018-04-23,2.977
67,2018-04-22,2.968
68,2018-04-20,2.96
69,2018-04-19,2.913
70,2018-04-18,2.875
71,2018-04-17,2.83
72,2018-04-16,2.829
73,2018-04-15,2.843
74,2018-04-13,2.825
75,2018-04-12,2.843
76,2018-04-11,2.779
77,2018-04-10,2.801
78,2018-04-09,2.781
79,2018-04-08,2.786
80,2018-04-06,2.775
81,2018-04-05,2.834
82,2018-04-04,2.808
83,2018-04-03,2.781
84,2018-04-02,2.733
85,2018-04-01,2.761
86,2018-03-29,2.741
87,2018-03-28,2.783
88,2018-03-27,2.775
89,2018-03-26,2.852
90,2018-03-25,2.821
91,2018-03-23,2.813
92,2018-03-22,2.823
93,2018-03-21,2.881
94,2018-03-20,2.9
95,2018-03-19,2.856
96,2018-03-18,2.855
97,2018-03-16,2.845
98,2018-03-15,2.826
99,2018-03-14,2.819
100,2018-03-13,2.844
101,2018-03-12,2.866
102,2018-03-11,2.905
103,2018-03-09,2.896
104,2018-03-08,2.857
105,2018-03-07,2.881
106,2018-03-06,2.886
107,2018-03-05,2.883
108,2018-03-04,2.848
109,2018-03-02,2.868
110,2018-03-01,2.811
111,2018-02-28,2.864
112,2018-02-27,2.901
113,2018-02-26,2.864
114,2018-02-25,2.875
115,2018-02-23,2.866
116,2018-02-22,2.919
117,2018-02-21,2.952
118,2018-02-20,2.891
119,2018-02-19,2.889
120,2018-02-18,2.873
121,2018-02-16,2.873
122,2018-02-15,2.906
123,2018-02-14,2.913
124,2018-02-13,2.833
125,2018-02-12,2.858
126,2018-02-11,2.857
127,2018-02-09,2.857
128,2018-02-08,2.828
129,2018-02-07,2.834
130,2018-02-06,2.805
131,2018-02-05,2.709
132,2018-02-04,2.845
133,2018-02-02,2.841
134,2018-02-01,2.782
135,2018-01-31,2.712
136,2018-01-30,2.724
137,2018-01-29,2.699
138,2018-01-28,2.658
139,2018-01-26,2.66
140,2018-01-25,2.624
141,2018-01-24,2.648
142,2018-01-23,2.617
143,2018-01-22,2.656
144,2018-01-21,2.663
145,2018-01-19,2.661
146,2018-01-18,2.624
147,2018-01-17,2.587
148,2018-01-16,2.539
149,2018-01-15,2.552
150,2018-01-12,2.55
151,2018-01-11,2.537
152,2018-01-10,2.559
153,2018-01-09,2.551
154,2018-01-08,2.48
155,2018-01-07,2.476
156,2018-01-05,2.476
