,Date,Price
0,2019-04-04,65.4413
1,2019-04-03,65.2355
2,2019-04-02,65.299
3,2019-04-01,65.1784
4,2019-03-29,65.634
5,2019-03-28,64.9382
6,2019-03-27,64.8291
7,2019-03-26,64.3919
8,2019-03-25,64.0807
9,2019-03-22,64.6616
10,2019-03-21,63.8684
11,2019-03-20,63.8577
12,2019-03-19,64.38
13,2019-03-18,64.3651
14,2019-03-15,64.8075
15,2019-03-14,65.514
16,2019-03-13,65.3932
17,2019-03-12,65.6236
18,2019-03-11,65.9751
19,2019-03-07,66.2827
20,2019-03-06,65.9751
21,2019-03-05,65.7624
22,2019-03-04,65.7387
23,2019-03-01,65.9365
24,2019-02-28,65.9151
25,2019-02-27,65.7901
26,2019-02-26,65.6999
27,2019-02-25,65.495
28,2019-02-22,65.3869
29,2019-02-21,65.5739
30,2019-02-20,65.6328
31,2019-02-19,65.7666
32,2019-02-18,66.2745
33,2019-02-15,66.3093
34,2019-02-14,66.6512
35,2019-02-13,66.5134
36,2019-02-12,65.8784
37,2019-02-11,65.8422
38,2019-02-08,65.7932
39,2019-02-07,65.9173
40,2019-02-06,65.8698
41,2019-02-05,65.6228
42,2019-02-04,65.5888
43,2019-02-01,65.5049
44,2019-01-31,65.4103
45,2019-01-30,65.5051
46,2019-01-29,66.0576
47,2019-01-28,66.264
48,2019-01-25,65.9938
49,2019-01-24,65.7634
50,2019-01-23,66.0805
51,2019-01-22,66.5341
52,2019-01-21,66.3882
53,2019-01-18,66.2722
54,2019-01-17,66.3653
55,2019-01-16,66.372
56,2019-01-15,66.9595
57,2019-01-14,67.0783
58,2019-01-11,66.8938
59,2019-01-10,66.9102
60,2019-01-09,66.7328
61,2019-01-08,66.9003
62,2019-01-04,67.7368
63,2019-01-03,68.6577
64,2018-12-29,69.8319
65,2018-12-28,69.5012
66,2018-12-27,69.5675
67,2018-12-26,68.6993
68,2018-12-25,68.6627
69,2018-12-24,68.5829
70,2018-12-21,68.8671
71,2018-12-20,68.3253
72,2018-12-19,67.4674
73,2018-12-18,67.2727
74,2018-12-17,66.7793
75,2018-12-14,66.745
76,2018-12-13,66.2312
77,2018-12-12,66.3996
78,2018-12-11,66.3795
79,2018-12-10,66.6529
80,2018-12-07,66.4006
81,2018-12-06,66.8741
82,2018-12-05,66.5669
83,2018-12-04,66.8401
84,2018-12-03,66.5095
85,2018-11-30,66.951
86,2018-11-29,66.2124
87,2018-11-28,66.9647
88,2018-11-27,67.0611
89,2018-11-26,67.0954
90,2018-11-23,66.1953
91,2018-11-22,65.6232
92,2018-11-21,65.6668
93,2018-11-20,66.1682
94,2018-11-19,65.5405
95,2018-11-16,65.9801
96,2018-11-15,65.892
97,2018-11-14,67.0379
98,2018-11-13,68.1147
99,2018-11-12,67.846
100,2018-11-09,68.1088
101,2018-11-08,66.9029
102,2018-11-07,66.3182
103,2018-11-06,66.1311
104,2018-11-02,66.2021
105,2018-11-01,65.7256
106,2018-10-31,65.8789
107,2018-10-30,65.5526
108,2018-10-29,65.8499
109,2018-10-26,65.7188
110,2018-10-25,65.5962
111,2018-10-24,65.6765
112,2018-10-23,65.5107
113,2018-10-22,65.242
114,2018-10-19,65.4911
115,2018-10-18,65.8044
116,2018-10-17,65.4946
117,2018-10-16,65.3067
118,2018-10-15,65.6526
119,2018-10-12,66.1173
120,2018-10-11,66.2668
121,2018-10-10,66.8935
122,2018-10-09,66.2607
123,2018-10-08,66.5707
124,2018-10-05,66.5795
125,2018-10-04,67.0142
126,2018-10-03,65.87
127,2018-10-02,65.503
128,2018-10-01,64.9848
129,2018-09-28,65.5503
130,2018-09-27,65.6158
131,2018-09-26,65.8054
132,2018-09-25,65.8789
133,2018-09-24,65.8465
134,2018-09-21,66.4138
135,2018-09-20,66.2735
136,2018-09-19,66.8168
137,2018-09-18,67.3648
138,2018-09-17,68.0636
139,2018-09-14,68.0749
140,2018-09-13,68.2455
141,2018-09-12,69.0146
142,2018-09-11,69.4245
143,2018-09-10,70.5613
144,2018-09-07,69.9025
145,2018-09-06,69.2575
146,2018-09-05,68.2578
147,2018-09-04,68.1158
148,2018-09-03,68.1184
149,2018-08-31,67.5458
150,2018-08-30,68.2441
151,2018-08-29,67.9422
152,2018-08-28,67.87
153,2018-08-27,67.5231
154,2018-08-24,67.0894
155,2018-08-23,68.1905
156,2018-08-22,68.028
157,2018-08-21,67.2698
158,2018-08-20,67.1083
159,2018-08-17,67.0448
160,2018-08-16,66.8308
161,2018-08-15,67.2998
162,2018-08-14,66.337
163,2018-08-13,67.8125
164,2018-08-10,67.7061
165,2018-08-09,66.6899
166,2018-08-08,65.549
167,2018-08-07,63.5012
168,2018-08-06,63.7398
169,2018-08-03,63.3389
170,2018-08-02,63.3833
171,2018-08-01,63.0369
172,2018-07-31,62.5078
173,2018-07-30,62.2518
174,2018-07-27,62.7967
175,2018-07-26,62.9533
176,2018-07-25,62.8188
