,Date,Price
0,2019-04-04,13.83
1,2019-04-03,13.74
2,2019-04-02,13.36
3,2019-04-01,13.4
4,2019-03-29,13.71
5,2019-03-28,14.43
6,2019-03-27,15.15
7,2019-03-26,14.68
8,2019-03-25,16.33
9,2019-03-22,16.48
10,2019-03-21,13.63
11,2019-03-20,13.91
12,2019-03-19,13.56
13,2019-03-18,13.1
14,2019-03-15,12.88
15,2019-03-14,13.5
16,2019-03-13,13.41
17,2019-03-12,13.77
18,2019-03-11,14.33
19,2019-03-08,16.05
20,2019-03-07,16.59
21,2019-03-06,15.74
22,2019-03-05,14.74
23,2019-03-04,14.63
24,2019-03-01,13.57
25,2019-02-28,14.78
26,2019-02-27,14.7
27,2019-02-26,15.17
28,2019-02-25,14.85
29,2019-02-22,13.51
30,2019-02-21,14.46
31,2019-02-20,14.02
32,2019-02-19,14.88
33,2019-02-15,14.91
34,2019-02-14,16.22
35,2019-02-13,15.65
36,2019-02-12,15.43
37,2019-02-11,15.97
38,2019-02-08,15.72
39,2019-02-07,16.37
40,2019-02-06,15.38
41,2019-02-05,15.57
42,2019-02-04,15.73
43,2019-02-01,16.14
44,2019-01-31,16.57
45,2019-01-30,17.66
46,2019-01-29,19.13
47,2019-01-28,18.87
48,2019-01-25,17.42
49,2019-01-24,18.89
50,2019-01-23,19.52
51,2019-01-22,20.8
52,2019-01-18,17.8
53,2019-01-17,18.06
54,2019-01-16,19.04
55,2019-01-15,18.6
56,2019-01-14,19.07
57,2019-01-11,18.19
58,2019-01-10,19.5
59,2019-01-09,19.98
60,2019-01-08,20.47
61,2019-01-07,21.4
62,2019-01-04,21.38
63,2019-01-03,25.45
64,2019-01-02,23.22
65,2018-12-31,25.42
66,2018-12-28,28.34
67,2018-12-27,29.96
68,2018-12-26,30.41
69,2018-12-24,36.07
70,2018-12-21,30.11
71,2018-12-20,28.38
72,2018-12-19,25.58
73,2018-12-18,25.58
74,2018-12-17,24.52
75,2018-12-14,21.63
76,2018-12-13,20.65
77,2018-12-12,21.46
78,2018-12-11,21.76
79,2018-12-10,22.64
80,2018-12-07,23.23
81,2018-12-06,21.19
82,2018-12-04,20.74
83,2018-12-03,16.44
84,2018-11-30,18.07
85,2018-11-29,18.79
86,2018-11-28,18.49
87,2018-11-27,19.02
88,2018-11-26,18.9
89,2018-11-23,21.52
90,2018-11-21,20.8
91,2018-11-20,22.48
92,2018-11-19,20.1
93,2018-11-16,18.14
94,2018-11-15,19.98
95,2018-11-14,21.25
96,2018-11-13,20.02
97,2018-11-12,20.45
98,2018-11-09,17.36
99,2018-11-08,16.72
100,2018-11-07,16.36
101,2018-11-06,19.91
102,2018-11-05,19.96
103,2018-11-02,19.51
104,2018-11-01,19.34
105,2018-10-31,21.23
